Region,Speaker,Time,POS,VowelInWord,CoArtContext,Stress,VowelType,Duration,F1,F2,F3
South,WT_1,00:01,,ts(i),ts_i,,,93,430,1833,2595
South,WT_1,00:01,,(i)ara,i_a,,,90,757,2237,3403
South,WT_1,00:01,,i(a)ra,i_r,,,81,716,2037,2342
South,WT_1,00:01,,iar(a),r_$,,,204,811,1666,3005
South,WT_1,00:02,,v(i)Ji,v_J,,,67,404,2322,2887
South,WT_1,00:02,,viJ(i),J_u,,,52,538,2199,2924
South,WT_1,00:02,,(u)n,i_n,,,50,404,871,2360
South,WT_1,00:02,,l(a),l_d,,,81,670,1663,2959
South,WT_1,00:02,,d(@)vani,d_v,,,81,623,1599,3020
South,WT_1,00:02,,d@v(a)ni,v_n,,,63,752,1621,2988
South,WT_1,00:03,,d@van(i),n_$,,,60,385,1646,2605
South,WT_1,00:04,,(a)Siia,^_S,,,70,636,2044,3126
South,WT_1,00:04,,aS(i)ia,S_i,,,40,461,2116,2900
South,WT_1,00:04,,aSi(i)a,i_a,,,50,478,2318,2914
South,WT_1,00:04,,aSii(a),i_$,,,108,409,2128,3000
South,WT_1,00:05,,ts(i)ur,ts_u,,,71,512,1602,2662
South,WT_1,00:05,,tsi(u)r,i_r,,,75,664,1719,3282
South,WT_1,00:05,,ts(i)ur,ts_u,,,75,591,2274,2940
South,WT_1,00:05,,tsi(u)r,i_r,,,79,583,1289,2435
South,WT_1,00:05,,ts(i)ur,ts_u,,,83,616,1962,2674
South,WT_1,00:05,,tsi(u)r,i_r,,,60,668,2108,2901
South,WT_1,00:06,,ts(i)ur,ts_u,,,59,438,2169,2467
South,WT_1,00:06,,tsi(u)r,i_r,,,69,555,1440,2473
South,WT_1,00:06,,ts(i)ur,ts_u,,,70,478,2060,2432
South,WT_1,00:06,,tsi(u)r,i_r,,,68,523,1958,2600
South,WT_1,00:06,,ts(i)ur,ts_u,,,75,502,2187,2928
South,WT_1,00:06,,tsi(u)r,i_r,,,70,608,2021,2567
South,WT_1,00:06,,ts(i)ur,ts_u,,,46,449,2200,2656
South,WT_1,00:06,,tsi(u)r,i_r,,,67,531,2199,2414
South,WT_1,00:07,,n(o)aptea,n_a,,,27,644,1898,2991
South,WT_1,00:07,,no(a)ptea,o_p,,,25,666,1699,2745
South,WT_1,00:07,,noapt(e)a,t_a,,,29,631,1921,3098
South,WT_1,00:07,,noapte(a),e_t,,,88,635,1751,3075
South,WT_1,00:07,,t(u)t,t_t,,,155,436,1443,2846
South,WT_1,00:08,,dz(u)a,dz_a,,,35,498,1764,3317
South,WT_1,00:08,,dzu(a),u_n,,,86,652,1638,2812
South,WT_1,00:08,,ndr(e)ag@,r_a,,,33,766,1914,3042
South,WT_1,00:08,,ndre(a)g@,e_g,,,62,765,1984,2920
South,WT_1,00:08,,ndreag(@),g_n,,,40,713,2187,2874
South,WT_1,00:08,,n(u),n_a,,,47,724,1847,3024
South,WT_1,00:08,,(a)vea,u_v,,,21,684,2019,2963
South,WT_1,00:08,,av(e)a,v_a,,,38,718,1830,2906
South,WT_1,00:08,,ave(a),e_ts,,,98,683,2107,3064
South,WT_1,00:08,,ts(i)va,ts_v,,,40,552,2084,2813
South,WT_1,00:08,,tsiv(a),v_d,,,115,638,1954,3134
South,WT_1,00:08,,d(i)p,d_p,,,92,496,2308,2503
South,WT_1,00:09,,dz(u)a,dz_a,,,94,514,1291,2885
South,WT_1,00:09,,dzu(a),u_$,,,122,473,1262,2464
South,WT_1,00:10,,d(i)p,d_p,,,90,381,2250,2817
South,WT_1,00:10,,ts(i)va,ts_v,,,63,511,2097,2756
South,WT_1,00:10,,tsiv(a),v_$,,,160,822,1549,2972
South,WT_1,00:10,,d(@),d_L,,,71,631,2015,2879
South,WT_1,00:10,,L(u),L_p,,,130,469,2216,2737
South,WT_1,00:11,,p(i)stevu,p_s,,,60,425,2409,2828
South,WT_1,00:11,,pist(e)vu,t_v,,,117,644,2089,2833
South,WT_1,00:11,,pistev(u),v_n,,,77,528,1234,2655
South,WT_1,00:11,,n(o)i,n_i,,,56,724,2247,3254
South,WT_1,00:11,,no(i),o_ts,,,54,578,2354,3318
South,WT_1,00:11,,ts(e)am,ts_a,,,32,774,2038,3066
South,WT_1,00:11,,tse(a)m,e_m,,,72,786,1832,2897
South,WT_1,00:13,,pr(u)sifCiia,r_s,,,39,435,1941,2717
South,WT_1,00:13,,prus(i)fCiia,s_f,,,104,470,2062,2672
South,WT_1,00:13,,prusifC(i)ia,C_i,,,62,1448,2839,3341
South,WT_1,00:13,,prusifCi(i)a,i_a,,,54,532,2482,3006
South,WT_1,00:13,,prusifCii(a),i_$,,,165,758,1999,2812
South,WT_1,00:14,,(u),^_ts,,,93,411,1465,2787
South,WT_1,00:14,,ts(e)am,ts_a,,,47,705,2209,2612
South,WT_1,00:14,,tse(a)m,e_m,,,60,896,1982,2668
South,WT_1,00:14,,p(i),p_a,,,33,524,1534,2635
South,WT_1,00:14,,(a)romuneSti,i_r,,,60,664,1160,2620
South,WT_1,00:14,,ar(o)muneSti,r_m,,,40,462,1285,2237
South,WT_1,00:14,,arom(u)neSti,m_n,,,63,459,1753,2659
South,WT_1,00:14,,aromun(e)Sti,n_S,,,168,628,2335,3158
South,WT_1,00:15,,aromuneSt(i),t_$,,,55,458,2365,3067
South,WT_1,00:15,,k(@),k_i,,,36,482,2347,2767
South,WT_1,00:15,,(i)o,@_o,,,90,481,2482,2743
South,WT_1,00:15,,i(o),i_u,,,122,554,1327,2803
South,WT_1,00:15,,(u),o_S,,,72,484,1675,2825
South,WT_1,00:16,,St(i)u,t_u,,,33,445,1803,2811
South,WT_1,00:16,,Sti(u),i_S,,,47,440,1605,2564
South,WT_1,00:16,,(a)romuneSti,S_r,,,73,565,1502,2718
South,WT_1,00:16,,ar(o)muneSti,r_m,,,28,506,1519,2278
South,WT_1,00:16,,arom(u)neSti,m_n,,,38,312,1817,2629
South,WT_1,00:16,,aromun(e)Sti,n_S,,,109,520,2331,2811
South,WT_1,00:16,,aromuneSt(i),t_$,,,51,348,2411,3066
South,WT_1,00:17,,(u),^_ts,,,126,427,1815,2903
South,WT_1,00:17,,ts(e)am,ts_a,,,44,743,2087,3245
South,WT_1,00:17,,tse(a)m,e_m,,,85,750,1846,2923
South,WT_1,00:17,,g(@)rtseask@,g_r,,,90,467,1564,2898
South,WT_1,00:18,,g@rts(e)ask@,ts_a,,,42,536,2337,3316
South,WT_1,00:18,,g@rtse(a)sk@,e_s,,,83,768,2048,3103
South,WT_1,00:18,,g@rtseask(@),k_$,,,102,575,2193,2762
South,WT_1,00:18,,d(@),d_L,,,111,631,2035,2764
South,WT_1,00:19,,L(u),L_d,,,103,481,1989,2663
South,WT_1,00:19,,d(@),d_L,,,121,642,2002,2893
South,WT_1,00:19,,L(u),L_d,,,129,470,1858,2613
South,WT_1,00:19,,d(@),d_L,,,126,533,1772,2284
South,WT_1,00:19,,L(u),L_d,,,107,470,1784,2728
South,WT_1,00:19,,d(@),d_L,,,100,613,1517,2289
South,WT_1,00:20,,vrn(@),n_dz,,,70,439,1507,2670
South,WT_1,00:20,,dz(a)ts,dz_ts,,,58,793,1890,2792
South,WT_1,00:21,,d(i),d_dz,,,86,444,2034,2279
South,WT_1,00:21,,dz(@)li,dz_l,,,95,570,1923,2432
South,WT_1,00:21,,dz@l(i),l_a,,,33,681,1965,2919
South,WT_1,00:21,,(a)rk@m,i_r,,,69,745,1847,2855
South,WT_1,00:21,,ark(@)m,k_m,,,53,627,1878,3072
South,WT_1,00:21,,TC(a)m,C_m,,,55,658,2015,2952
South,WT_1,00:22,,T(i)Jam@,T_J,,,58,411,2226,2825
South,WT_1,00:22,,TiJ(a)m@,J_m,,,144,828,1942,2820
South,WT_1,00:22,,TiJam(@),m_T,,,57,651,1923,3256
South,WT_1,00:22,,TC(a)m,C_m,,,61,611,2030,3011
South,WT_1,00:22,,ns(u)s,s_s,,,110,505,2030,3220
South,WT_1,00:23,,Ng(o)s,g_s,,,99,527,1883,3103
South,WT_1,00:23,,fdz(i),dz_t,,,182,452,2071,3185
South,WT_1,00:24,,t(o)ra,t_r,,,60,571,1991,3108
South,WT_1,00:24,,tor(a),r_n,,,60,521,1048,2694
South,WT_1,00:24,,n(u),n_$,,,193,439,1272,2875
South,WT_1,00:24,,n(u),n_l,,,64,530,986,2760
South,WT_1,00:24,,l(u),l_a,,,30,546,1364,2507
South,WT_1,00:24,,(a)vem,u_v,,,73,591,1442,2849
South,WT_1,00:25,,av(e)m,v_m,,,103,468,2238,3007
South,WT_1,00:25,,(a)las@,^_l,,,63,824,1889,3151
South,WT_1,00:25,,al(a)s@,l_s,,,97,804,1751,3097
South,WT_1,00:26,,alas(@),s_a,,,53,662,1917,2369
South,WT_1,00:26,,(a)tsea,@_ts,,,66,636,1991,2761
South,WT_1,00:26,,ats(e)a,ts_a,,,34,593,1983,2449
South,WT_1,00:26,,atse(a),e_$,,,113,746,1956,2813
South,WT_1,00:27,,n(i)k@,n_k,,,106,441,2326,3014
South,WT_1,00:27,,nik(@),k_u,,,73,589,1886,2938
South,WT_1,00:27,,(u)n,@_n,,,90,611,1569,3067
South,WT_1,00:27,,d(e),d_a,,,53,608,2004,2947
South,WT_1,00:27,,(a)nostru,e_n,,,35,558,1833,2740
South,WT_1,00:27,,an(o)stru,n_s,,,63,580,1199,2607
South,WT_1,00:27,,anostr(u),r_a,,,45,567,1175,2439
South,WT_1,00:27,,(a)uatsi,u_u,,,35,711,1333,2772
South,WT_1,00:28,,a(u)atsi,a_a,,,57,755,1353,2746
South,WT_1,00:28,,au(a)tsi,u_ts,,,127,716,1496,3009
South,WT_1,00:28,,auats(i),ts_$,,,53,208,2277,3222
South,WT_1,00:29,,d(u)si,d_s,,,61,379,2067,2898
South,WT_1,00:29,,dus(i),s_d,,,110,409,2174,3151
South,WT_1,00:29,,d(i),d_s,,,61,440,2175,3054
South,WT_1,00:29,,n(i)k@,n_k,,,110,302,2402,3067
South,WT_1,00:29,,nik(@),k_$,,,150,530,1954,3059
South,WT_1,00:30,,j(e)Gonos,j_G,,,47,488,1424,2618
South,WT_1,00:31,,jeG(o)nos,G_n,,,66,556,1287,2543
South,WT_1,00:31,,jeGon(o)s,n_s,,,79,507,1349,2600
South,WT_1,00:31,,t(u),t_T,,,78,525,1570,2903
South,WT_1,00:32,,TC(a)m,C_m,,,140,1001,1785,3042
South,WT_1,00:32,,(a)p,m_p,,,129,1040,1541,3109
South,WT_1,00:33,,d(u)si,d_s,,,95,468,1981,2948
South,WT_1,00:33,,dus(i),s_a,,,61,511,2079,3142
South,WT_1,00:33,,(a)tsiol,i_ts,,,56,497,2043,3196
South,WT_1,00:33,,ats(i)ol,ts_o,,,36,551,1917,2996
South,WT_1,00:33,,atsi(o)l,i_l,,,49,539,1606,3033
South,WT_1,00:33,,n(i)k@,n_k,,,114,439,2163,2981
South,WT_1,00:34,,nik(@),k_$,,,213,627,1886,3159
South,WT_1,00:35,,s(i),s_a,,,37,488,2043,3059
South,WT_1,00:35,,(a)dr@,i_d,,,107,446,1850,3135
South,WT_1,00:36,,adr(@),r_$,,,241,506,1829,2990
South,WT_1,00:37,,D(e)mun,D_m,,,137,568,2177,2734
South,WT_1,00:37,,Dem(u)n,m_n,,,55,418,1337,2286
South,WT_1,00:37,,ts(i),ts_s,,,72,406,2250,2870
South,WT_1,00:37,,s(i),s_a,,,37,462,2105,3072
South,WT_1,00:37,,(a)dr@,i_d,,,93,526,1969,2699
South,WT_1,00:38,,adr(@),r_$,,,149,602,1862,3093
South,WT_1,00:39,,n(@),n_dz,,,115,462,1686,2737
South,WT_1,00:39,,dz(@)si,dz_s,,,82,536,2056,2897
South,WT_1,00:39,,dz@s(i),s_$,,,280,460,2403,2753
South,WT_1,00:40,,mbL(a)r,L_r,,,151,756,2146,2973
South,WT_1,00:41,,(a)tsea,s_ts,,,98,612,1517,2859
South,WT_1,00:41,,ats(e)a,ts_a,,,37,669,1988,2815
South,WT_1,00:41,,atse(a),e_$,,,147,752,1680,3051
South,WT_1,00:41,,mbL(a)ri,L_r,,,152,751,1979,2951
South,WT_1,00:42,,mbLar(i),r_s,,,82,559,2065,3191
South,WT_1,00:42,,s(a),s_k,,,94,661,1840,3078
South,WT_1,00:42,,k(u),k_t,,,56,460,1431,3039
South,WT_1,00:42,,t(u)t,t_t,,,119,498,1495,3012
South,WT_1,00:42,,dz(i)nir,dz_n,,,99,448,2281,3045
South,WT_1,00:42,,dzin(i)r,n_r,,,88,500,1844,2905
South,WT_1,00:43,,s(u),s_$,,,88,354,1658,3182
South,WT_1,00:43,,dz(@)tsi,dz_ts,,,106,431,1945,2922
South,WT_1,00:44,,dz@ts(i),ts_$,,,221,478,2432,3005
South,WT_1,00:45,,(o)re,^_r,,,109,523,1120,2590
South,WT_1,00:45,,or(e),r_m,,,161,711,2228,2880
South,WT_1,00:45,,m(a)rie,m_r,,,86,723,2055,2947
South,WT_1,00:45,,mar(i)e,r_e,,,72,492,2678,3079
South,WT_1,00:45,,mari(e),i_dz,,,155,559,2435,2818
South,WT_1,00:45,,dz(@)si,dz_s,,,35,426,2080,2925
South,WT_1,00:45,,dz@s(i),s_a,,,34,514,2128,3282
South,WT_1,00:45,,(a),i_s,,,40,548,1977,3066
South,WT_1,00:46,,s(o)akr@,s_a,,,41,585,2062,3357
South,WT_1,00:46,,so(a)kr@,o_k,,,110,703,1476,2970
South,WT_1,00:46,,soakr(@),r_m,,,37,422,1925,2576
South,WT_1,00:46,,m(e)ai,m_a,,,27,311,2202,2856
South,WT_1,00:46,,me(a)i,e_i,,,32,509,2401,3023
South,WT_1,00:46,,mea(i),a_$,,,27,277,2371,2908
South,WT_1,00:47,,n(u),n_l,,,59,474,1302,2791
South,WT_1,00:47,,l(u)ats,l_a,,,25,528,1354,2459
South,WT_1,00:47,,lu(a)ts,u_ts,,,108,722,1554,2957
South,WT_1,00:47,,l(i)vaDea,l_v,,,53,501,2205,2968
South,WT_1,00:47,,liv(a)Dea,v_D,,,136,891,1660,2959
South,WT_1,00:47,,livaD(e)a,D_a,,,35,682,2091,3080
South,WT_1,00:47,,livaDe(a),e_m,,,48,790,2012,2931
South,WT_1,00:47,,m(e)a,m_a,,,36,764,2113,3022
South,WT_1,00:47,,me(a),e_S,,,89,837,1818,2933
South,WT_1,00:48,,(u),S_t,,,59,449,1516,2765
South,WT_1,00:48,,t(@)Lats,t_L,,,69,451,2236,2914
South,WT_1,00:48,,t@L(a)ts,L_ts,,,113,785,1865,2492
South,WT_1,00:48,,(a)uaia,ts_u,,,70,661,1551,2834
South,WT_1,00:48,,a(u)aia,a_a,,,107,544,1303,2800
South,WT_1,00:48,,au(a)ia,u_i,,,85,712,1355,2745
South,WT_1,00:48,,aua(i)a,a_a,,,51,820,2022,2741
South,WT_1,00:48,,auai(a),i_dz,,,94,759,2005,2792
South,WT_1,00:49,,dz(@)tsi,dz_ts,,,90,393,2108,2480
South,WT_1,00:49,,dz@ts(i),ts_k,,,156,327,2221,3017
South,WT_1,00:49,,k(@),k_$,,,395,588,1651,3187
South,WT_1,00:49,,(a)vets,^_v,,,110,709,1861,3159
South,WT_1,00:50,,av(e)ts,v_ts,,,149,464,2142,3073
South,WT_1,00:50,,(o)i,ts_i,,,90,444,1679,3332
South,WT_1,00:50,,o(i),o_dz,,,121,432,2347,2752
South,WT_1,00:50,,dz(@)tsi,dz_ts,,,66,415,2023,2310
South,WT_1,00:50,,dz@ts(i),ts_a,,,30,505,2145,3244
South,WT_1,00:50,,(a)vets,i_v,,,44,541,2017,2918
South,WT_1,00:50,,av(e)ts,v_ts,,,86,478,2074,3003
South,WT_1,00:51,,k(a)L,k_L,,,109,922,1791,2480
South,WT_1,00:51,,(a)vets,L_v,,,68,567,2219,2680
South,WT_1,00:51,,av(e)ts,v_ts,,,120,458,2088,3275
South,WT_1,00:51,,d(i),d_t,,,76,423,1957,3342
South,WT_1,00:51,,t(u)ti,t_t,,,101,375,1848,3192
South,WT_1,00:52,,tut(i),t_$,,,110,385,2324,3093
South,WT_1,00:53,,(e),^_S,,,154,728,1961,2911
South,WT_1,00:53,,(u),S_l,,,72,513,1428,2082
South,WT_1,00:53,,l(o)m,l_m,,,111,615,1274,2819
South,WT_1,00:53,,v(i)Ji,v_J,,,91,375,2435,2780
South,WT_1,00:54,,viJ(i),J_a,,,38,482,2290,2895
South,WT_1,00:54,,(a)kas@,i_k,,,95,644,2117,2909
South,WT_1,00:54,,ak(a)s@,k_s,,,107,736,1845,3000
South,WT_1,00:54,,akas(@),s_s,,,44,299,1799,3159
South,WT_1,00:54,,s(o)akr@,s_a,,,26,684,1730,3267
South,WT_1,00:54,,so(a)kr@,o_k,,,90,762,1600,2897
South,WT_1,00:54,,soakr(@),r_m,,,37,508,2023,2670
South,WT_1,00:54,,m(e)a,m_a,,,24,631,1896,3002
South,WT_1,00:54,,me(a),e_S,,,36,642,1920,3308
South,WT_1,00:55,,dz(@)tsi,dz_ts,,,94,437,1861,2656
South,WT_1,00:55,,dz@ts(i),ts_o,,,27,475,2244,3004
South,WT_1,00:55,,(o),i_j,,,116,500,1368,2980
South,WT_1,00:55,,j(o)rji,j_r,,,71,610,2023,2822
South,WT_1,00:55,,jorj(i),j_$,,,120,461,2551,3307
South,WT_1,00:56,,(@)J,^_J,,,81,521,2251,3157
South,WT_1,00:56,,dz(@)si,dz_s,,,92,501,2021,3208
South,WT_1,00:56,,dz@s(i),s_k,,,261,442,2042,3082
South,WT_1,00:57,,k(o)sta,k_s,,,57,525,1488,2994
South,WT_1,00:57,,kost(a),t_d,,,70,633,1676,3278
South,WT_1,00:57,,d(a)fula,d_f,,,63,632,1464,3079
South,WT_1,00:57,,daf(u)la,f_l,,,68,488,1107,2800
South,WT_1,00:57,,daful(a),l_s,,,121,680,1808,2778
South,WT_1,00:58,,t(@)Lem,t_L,,,60,428,2170,3088
South,WT_1,00:58,,t@L(e)m,L_m,,,91,549,2212,3051
South,WT_1,00:58,,TC(a)m@,C_m,,,73,652,1977,3022
South,WT_1,00:58,,TCam(@),m_l,,,30,441,1889,2132
South,WT_1,00:58,,l(i)vaD,l_v,,,48,427,1885,2626
South,WT_1,00:58,,liv(a)D,v_D,,,136,776,1618,2733
South,WT_1,00:59,,(u),S_t,,,80,414,1712,2515
South,WT_1,00:59,,t(@)Lem,t_L,,,61,614,2093,2938
South,WT_1,00:59,,t@L(e)m,L_m,,,83,584,2341,2835
South,WT_1,01:00,,(u),^_t,,,245,445,1589,2985
South,WT_1,01:01,,t(@)Lem,t_L,,,68,459,2074,2987
South,WT_1,01:01,,t@L(e)m,L_m,,,160,632,2193,2973
South,WT_1,01:02,,n(o)i,n_i,,,60,613,1992,3039
South,WT_1,01:02,,no(i),o_u,,,54,540,2305,2908
South,WT_1,01:03,,(u),i_t,,,151,500,1367,2939
South,WT_1,01:03,,t(@)Lem,t_L,,,65,435,2386,3039
South,WT_1,01:03,,t@L(e)m,L_m,,,86,533,2361,3063
South,WT_1,01:03,,(i),m_a,,,95,379,2523,3056
South,WT_1,01:03,,(a)ltu,i_l,,,115,718,1448,2753
South,WT_1,01:03,,alt(u),t_b,,,93,330,1623,3147
South,WT_1,01:04,,b(@)g@m,b_g,,,70,391,1644,3207
South,WT_1,01:04,,b@g(@)m,g_m,,,73,488,1995,3085
South,WT_1,01:04,,(a)ltu,^_l,,,146,811,1265,2846
South,WT_1,01:04,,alt(u),t_b,,,43,343,1223,3065
South,WT_1,01:04,,b(@)g@m,b_g,,,44,318,1465,3051
South,WT_1,01:04,,b@g(@)m,g_m,,,49,441,1155,2918
South,WT_1,01:05,,d(i),d_u,,,49,400,2060,2743
South,WT_1,01:05,,(u),i_t,,,131,402,1444,2995
South,WT_1,01:06,,t(@)Le,t_L,,,76,390,2259,2721
South,WT_1,01:06,,t@L(e),L_$,,,182,628,2256,3033
South,WT_1,01:07,,b(@)rba,b_r,,,45,494,1507,2583
South,WT_1,01:07,,b@rb(a),b_J,,,113,897,1650,2514
South,WT_1,01:08,,J(u),J_l,,,62,555,1955,2779
South,WT_1,01:08,,l(u),l_a,,,63,536,1127,2309
South,WT_1,01:08,,(a)ra,u_r,,,51,610,1377,2430
South,WT_1,01:08,,ar(a),r_l,,,168,702,1727,2820
South,WT_1,01:08,,l(a),l_l,,,420,958,1609,2878
South,WT_1,01:09,,l(u)kru,l_k,,,133,372,898,2769
South,WT_1,01:09,,lukr(u),r_k,,,89,434,1046,2259
South,WT_1,01:09,,k(u),k_k,,,140,450,1222,3141
South,WT_1,01:09,,k(a)Li,k_L,,,159,929,1631,2787
South,WT_1,01:10,,kaL(i),L_J,,,234,475,2506,3048
South,WT_1,01:10,,f(a)tsi,f_ts,,,109,610,2013,2948
