phoneme,F1,F2,F3
,0,0,0
a-60%,681.9250004465908,1552.4000793871219,2437.374773064793
,0,0,0
u-60%,423.0117123644033,1418.4125274154255,2677.65331012074
,0,0,0
u-60%,444.4079265863289,1379.1028690864578,3167.7781030670876
,0,0,0
a-60%,622.6124201270312,1632.1580941984455,2817.9069534210203
,0,0,0
i-60%,559.2854946680644,1984.3026256764883,2449.07039093778
,0,0,0
a-60%,706.2955589194343,1754.265165903377,2456.671788567216
,0,0,0
a-60%,891.1838028147093,1645.3610026648805,2746.143601217504
,0,0,0
a-60%,614.6329033949053,1645.1165057488752,2879.785613680871
,0,0,0
u-60%,518.979764927526,1584.0869028848815,2757.243774186509
,0,0,0
a-60%,806.8693903858043,1680.2461843720978,2711.1492301003154
,0,0,0
a-60%,775.5002869366157,1664.1686732333249,2435.64296290429
,0,0,0
u-60%,425.58289317100764,1100.490573154104,2358.7205335695367
,0,0,0
i-60%,386.1279955669041,2583.136113402921,3233.659208634603
,0,0,0
i-60%,389.52401841961955,2053.4762731188903,2897.1571650989113
,0,0,0
a-60%,671.0090173723964,1586.2193162369515,2007.7175058000332
,0,0,0
@-60%,582.9513052673436,1525.4460587337794,2176.324875510488
,0,0,0
i-60%,346.85200020048524,1763.6143810567355,2870.6097142003982
,0,0,0
i-60%,365.26227659767096,1526.554098200968,2741.954558717635
,0,0,0
@-60%,629.544633831015,1789.860146477181,3119.447936672477
,0,0,0
a-60%,704.550671981451,1558.1937868294874,2526.5660070424665
,0,0,0
u-60%,450.8643442096817,1424.083068129759,2837.18043687828
,0,0,0
a-60%,995.3602300214732,1580.5195410371707,2643.920633082407
,0,0,0
e-60%,501.1030916736191,1621.4363370989765,2284.5672451951373
,0,0,0
a-60%,716.9337518084006,1931.2729951983672,2565.5843657503824
,0,0,0
i-60%,365.7529537727917,1754.1855734898336,2620.2465938180826
,0,0,0
i-60%,422.89504472291975,2134.6967502785296,2802.0283770798
,0,0,0
u-60%,395.5494088843066,1454.9083799165674,2948.2516440016825
,0,0,0
i-60%,400.84095955889626,2430.341140977597,2965.1425281711563
,0,0,0
a-60%,720.6644611030947,1678.4303786794653,2421.7884992134072
,0,0,0
e-60%,449.08610681847034,1719.3653678000494,2528.857280701942
,0,0,0
i-60%,492.53866847382886,1882.3874795174656,2772.4670916028836
,0,0,0
a-60%,591.9122631218196,1808.8002419338575,2683.7033778252367
,0,0,0
a-60%,711.2851650184925,1834.0825950473597,2929.6804395540285
,0,0,0
e-60%,473.92402693799437,1886.0113924680263,2658.8594145517154
,0,0,0
i-60%,472.000664830032,2295.379966929709,2944.2484157155495
,0,0,0
a-60%,554.5301949249782,1501.7581962359955,2710.0325599492135
,0,0,0
u-60%,352.2446107736926,778.5436005832783,2537.9704781028067
,0,0,0
u-60%,483.8882232913294,956.2602796160533,2341.570271869441
,0,0,0
a-60%,593.8244239949046,1228.4735676803468,2407.4639668174505
,0,0,0
@-60%,536.9414077420032,1663.244015799382,2690.548218132256
,0,0,0
a-60%,894.2446983440029,1675.1547773170623,2205.612280170822
,0,0,0
a-60%,947.6716617159268,1710.1581541662651,2634.023870659772
,0,0,0
a-60%,654.3484544453269,1597.0824512906586,3076.636566725129
,0,0,0
@-60%,413.9371496010597,1767.4692417919068,2521.1196326317845
,0,0,0
a-60%,900.4863443120122,1735.603110322237,2735.103699773393
,0,0,0
u-60%,345.700563637684,1953.9773545407822,3093.7593319835164
,0,0,0
e-60%,541.548295466863,2226.2414042767327,2706.0918456397285
,0,0,0
a-60%,890.2026326609869,1786.9560108449602,3032.326211262137
,0,0,0
@-60%,425.17393367786667,1514.0067602324152,2313.7522390209924
,0,0,0
i-60%,315.496488697955,1581.6307047227983,2350.397369071551
,0,0,0
i-60%,405.22143755018465,2129.992783090821,2784.072391296459
,0,0,0
@-60%,644.7607602570927,1703.6733584462124,2704.149206798955
,0,0,0
@-60%,571.9634469431566,2182.6983801818706,2932.702043000992
,0,0,0
i-60%,419.23788303238234,2251.4863760748303,2959.2860431140284
,0,0,0
i-60%,338.522046168542,2592.826311351729,3097.1070342137255
,0,0,0
a-60%,988.5148658828119,1804.3941366650054,2569.721931707718
,0,0,0
i-60%,434.2275835618289,1578.915693515246,2445.05961854041
,0,0,0
i-60%,376.7692404475696,1973.8331423542134,2627.93112136063
,0,0,0
e-60%,762.181419833344,1657.064057083216,2685.1069455390802
,0,0,0
a-60%,1023.8396145504489,1545.8408478363897,2525.3962025821943
,0,0,0
a-60%,1114.7730904501389,1938.9534116780515,3129.475989840742
,0,0,0
i-60%,501.60534082325734,1978.1836965554348,2726.962131521095
,0,0,0
