phoneme,F1,F2,F3
,0,0,0
a-60%,640.374210069649,2029.018919107665,2876.384630251485
,0,0,0
a-60%,582.6720040042452,2135.9643167024033,3091.755780961302
,0,0,0
u-60%,432.2047556146178,1265.3975675295171,2500.338171118148
,0,0,0
a-60%,549.234314125055,1714.529004269175,2971.3639359840763
,0,0,0
i-60%,493.51571012476495,2328.663497982259,3100.9572480612583
,0,0,0
@-60%,562.3005071092266,1169.8238133253788,2707.409831469521
,0,0,0
a-60%,875.0294957352277,1578.275104736487,3033.463883783185
,0,0,0
u-60%,509.332444832919,1140.062213002244,3333.91726333943
,0,0,0
@-60%,385.3930636264466,1104.9174095446454,3055.769443953244
,0,0,0
u-60%,935.4707900541421,2521.9957266475476,3305.9593622061016
,0,0,0
a-60%,991.3212209893835,1260.8538108740602,3075.1049495518855
,0,0,0
@-60%,556.8986794349039,966.3770356842921,2950.826671095607
,0,0,0
a-60%,973.8232422654634,1610.9887625785154,3168.458662498865
,0,0,0
i-60%,948.3729459499127,2709.8515276653006,3398.4344374178427
,0,0,0
u-60%,511.40138794776095,1474.5778567334287,2986.620912303637
,0,0,0
o-60%,498.47848497210396,828.1636830420935,2895.6641074255385
,0,0,0
a-60%,674.0694431294502,1256.4028960864382,2940.315418763588
,0,0,0
u-60%,535.8753330845057,1404.404010328591,3093.3277878863546
,0,0,0
a-60%,606.4344387229922,1937.616776495778,3147.6419313739802
,0,0,0
i-60%,364.3607261389627,2319.434851347271,3113.8883636597807
,0,0,0
e-60%,612.1643294752175,2329.360397366556,3175.1647666221006
,0,0,0
a-60%,1141.362179651506,1444.212615521529,3102.676439999571
,0,0,0
@-60%,473.2071159128645,1332.949137140711,3071.0581891029346
,0,0,0
o-60%,576.429805883978,1017.0113711527534,2910.098722094705
,0,0,0
u-60%,446.9742856933398,1068.7107216077015,3028.0241320132777
,0,0,0
@-60%,483.15727988907054,1529.793726143967,2830.8340601329155
,0,0,0
a-60%,759.6240820452583,1614.1772468120969,3034.50933003691
,0,0,0
a-60%,1076.9140688664233,1432.7563594965695,3257.223205494459
,0,0,0
a-60%,719.4582919046801,1297.71429778194,2809.4316244214647
,0,0,0
u-60%,454.57407356205283,974.8048751518536,2970.061603528166
,0,0,0
u-60%,397.54903379338197,1196.224531658692,2808.959191045539
,0,0,0
u-60%,695.1229235928346,1701.4852263818723,3049.1898062505147
,0,0,0
a-60%,931.1988590388984,1395.1014593395423,2823.4968972908623
,0,0,0
a-60%,726.7805906912604,1586.1582760044494,3116.0689635898016
,0,0,0
a-60%,626.7891205806109,1605.3548797726896,2946.968065411053
,0,0,0
@-60%,425.6663435707491,1643.917189570051,2965.044813767346
,0,0,0
u-60%,440.2998463836887,1113.6098898111575,2668.4060391726343
,0,0,0
a-60%,764.8356676246842,1454.265045941473,3058.1673297414186
,0,0,0
e-60%,640.0974729455754,2051.863760617603,2979.4277874584855
,0,0,0
a-60%,883.8988040837925,1464.831972802626,2662.5444455165184
,0,0,0
a-60%,927.3632593681051,1773.0844768648171,3131.723189983294
,0,0,0
e-60%,460.3899907111831,1927.3589810498408,3188.001953536951
,0,0,0
a-60%,459.82161447316224,2371.586303753273,3325.018573489779
,0,0,0
i-60%,613.711459084275,2103.3368837422213,3118.6144073796168
,0,0,0
a-60%,536.5390061933831,1953.5075562838551,3062.532509374401
,0,0,0
@-60%,432.17469235942156,1871.9643882836783,2917.0313097651356
,0,0,0
i-60%,501.62220900242056,1977.3228985820706,2665.7083723993037
,0,0,0
u-60%,410.33463098561555,893.3108978348969,2497.6107779379095
,0,0,0
a-60%,1012.4339097292303,1462.708357102525,2852.0909988833473
,0,0,0
@-60%,315.9283925196637,1435.7872651129032,2894.6041361418484
,0,0,0
u-60%,845.7055424579099,2404.7860729534573,3229.781901625284
,0,0,0
a-60%,950.8285059589117,1400.4899645599953,2804.9888783075157
,0,0,0
@-60%,588.0267617117638,1736.9288814654165,2762.8231515211464
,0,0,0
e-60%,573.5203431244856,1990.9375789199737,2608.199802704192
,0,0,0
a-60%,851.9077366871204,1611.4031864299684,2653.7448120528325
,0,0,0
i-60%,495.7320205463235,2150.9967498324568,2829.843648986913
,0,0,0
i-60%,376.1927112620447,1865.6763038333515,2612.572274693399
,0,0,0
u-60%,448.4126631934384,1007.2691357996468,2744.839312555244
,0,0,0
u-60%,466.9549924648377,1172.0261404028045,2830.488285604489
,0,0,0
u-60%,570.6519498233672,1086.019300436362,2779.6998841154923
,0,0,0
a-60%,527.0923991015344,969.397220944169,2644.150148097691
,0,0,0
u-60%,448.0999094505634,888.5262909227675,2656.807121687023
,0,0,0
a-60%,807.2719344529257,1306.2432667002226,2649.3417684867504
,0,0,0
i-60%,880.2767932447023,1487.5177579318176,2653.9750279322575
,0,0,0
a-60%,782.3800455181806,2182.820451555416,2871.032551983539
,0,0,0
a-60%,556.1182535594917,1203.5386524478702,3009.831369028695
,0,0,0
u-60%,471.7203447697092,1319.6913899405417,2882.8370095020728
,0,0,0
u-60%,452.7948488568908,1174.8438593247367,2680.5142494398888
,0,0,0
u-60%,489.02788608041914,1186.5588286758727,2838.6416696452297
,0,0,0
e-60%,672.6602041256899,1853.3015221988708,2853.463663709618
,0,0,0
u-60%,408.7204212083654,937.598875241234,2827.8445982201342
,0,0,0
a-60%,998.9040824793308,1354.4821864081741,2973.760054699999
,0,0,0
@-60%,525.4065176708314,1868.3086545407916,3133.0622048022774
,0,0,0
e-60%,524.9974444597714,1838.762926109833,2748.1386079443682
,0,0,0
e-60%,590.4179542938148,1963.339244532521,2903.1420424023513
,0,0,0
a-60%,687.1705111343247,1935.6563640049724,3025.945703923495
,0,0,0
a-60%,1005.4363848131833,1479.0776613321138,3019.864724445222
,0,0,0
a-60%,750.6977791308295,1521.8738367338433,2801.8065756300603
,0,0,0
i-60%,805.601020547701,1637.8210425055233,2780.681098140221
,0,0,0
a-60%,754.4784225985143,1637.0406587182263,2810.763040281104
,0,0,0
a-60%,777.0688085092996,1512.2246576614948,2659.393247762622
,0,0,0
u-60%,535.9172979431548,929.2548778728127,2714.88297126313
,0,0,0
u-60%,628.1269433302318,980.768309561313,2647.9141562502314
,0,0,0
e-60%,670.2291962081479,2064.166110607004,3057.8285282216493
,0,0,0
a-60%,801.5529900702306,1879.2727763680869,2926.0785884114616
,0,0,0
a-60%,741.7613314329095,1820.9094881337899,2761.44031804683
,0,0,0
u-60%,491.3747250507413,1043.2876490536546,2585.738604002137
,0,0,0
u-60%,587.8878315894663,1282.805823141837,2900.9622079706523
,0,0,0
u-60%,520.7632885286387,1280.8032364023125,2768.1644343370654
,0,0,0
e-60%,588.09235636399,1743.6757493655339,2238.144314360404
,0,0,0
a-60%,695.9935047812554,1830.0824830504584,2901.8544729949954
,0,0,0
a-60%,768.3905655379227,1824.0261229399412,2781.2930156313373
,0,0,0
a-60%,778.6888875765123,1597.002724316781,2671.0456497045748
,0,0,0
a-60%,803.9847831201336,1203.416558326832,2934.1124337612723
,0,0,0
u-60%,454.04691383358096,1204.8681583410296,2988.566426758118
,0,0,0
e-60%,374.1877662469911,1927.2391883632276,2674.951207831939
,0,0,0
o-60%,641.0144583904801,987.4723932061112,2898.426122035006
,0,0,0
u-60%,425.9026271121848,859.6676318312908,2737.465920673741
,0,0,0
a-60%,943.3126831938755,1351.923156865895,2933.4032852599803
,0,0,0
a-60%,809.0418831298757,1530.7571332374089,3061.2126165592313
,0,0,0
e-60%,911.7327407402612,1783.0205545077254,3122.0305211212026
,0,0,0
a-60%,895.1622042003971,1803.7495003507986,3112.0311899486323
,0,0,0
a-60%,983.9292444635249,1670.161018642467,3072.8385000642907
,0,0,0
a-60%,675.6044578463723,1328.7123854611173,2851.3060486548666
,0,0,0
u-60%,446.8899248150507,1396.454469945924,2758.5739508584415
,0,0,0
i-60%,353.7536672321146,1919.5928308794057,2924.1204491167077
,0,0,0
@-60%,511.7518009943966,1654.0177625023273,3043.7798711705495
,0,0,0
a-60%,547.8091249832086,1871.533463265485,3064.1131099638255
,0,0,0
@-60%,516.7042053698931,1814.322454759678,3072.6104744135623
,0,0,0
a-60%,692.3732492117046,1209.4625217612165,2706.5040977748404
,0,0,0
u-60%,442.88901814640633,1169.3983103007054,2921.551568320505
,0,0,0
u-60%,581.5089879232719,1278.9856315526768,2292.9958475243543
,0,0,0
a-60%,781.3419242724913,1219.5113647837054,2951.3192186589563
,0,0,0
a-60%,860.1927742230112,1456.4933464670303,2962.595268821583
,0,0,0
u-60%,623.6398812651589,1496.1934389580529,2637.915803826007
,0,0,0
