phoneme,F1,F2,F3
,0,0,0
o-60%,666.6794459424061,1186.1906444036445,2504.4544299291524
,0,0,0
a-60%,908.2845430361663,1655.471041606849,2960.5715057464063
,0,0,0
u-60%,630.2712269946272,1235.4930524866684,2705.182859164919
,0,0,0
u-60%,596.2743482749411,768.4496081339114,2130.304891673267
,0,0,0
@-60%,639.5803596524454,2063.5609394938965,2960.282277624551
,0,0,0
a-60%,854.029801344336,1538.391669687979,2384.080993128539
,0,0,0
a-60%,797.3742169208479,1245.7267498125593,2579.7617214786296
,0,0,0
o-60%,698.1188703191656,1265.0323723439212,2373.58916523725
,0,0,0
i-60%,546.5418877232041,2501.224736779288,2875.7250403905273
,0,0,0
u-60%,459.42525254005,1299.9604012521077,2717.795926810155
,0,0,0
@-60%,568.6426025593281,1989.5334799545462,2649.4415848741473
,0,0,0
i-60%,388.7829456739997,2209.9428371895083,2730.778444573673
,0,0,0
i-60%,504.8557620980419,2166.4619260253107,2871.639278021315
,0,0,0
e-60%,622.0190066701005,2101.777735395125,2870.8411216974496
,0,0,0
a-60%,605.0540453808121,2030.785275113809,2776.1562216147304
,0,0,0
a-60%,847.9197364922457,1854.2614906165443,2513.4684404400004
,0,0,0
a-60%,645.5415137573407,1757.8755762307364,2485.469689270195
,0,0,0
a-60%,819.027094426052,1301.021915408996,2824.2145318795533
,0,0,0
@-60%,760.145802517034,2008.115753591771,2991.8085076779994
,0,0,0
i-60%,583.7978223545699,1853.8120546718642,2717.343380429371
,0,0,0
u-60%,727.5741847329197,986.9895044808258,2291.9843603092045
,0,0,0
a-60%,758.2980456364128,1562.3664148784828,2122.3175746590223
,0,0,0
i-60%,401.7792458157002,1330.5811952059469,2730.9826373345873
,0,0,0
u-60%,519.8991486507479,1148.8395569146185,2824.1381001669097
,0,0,0
a-60%,871.5982071810063,1243.257055089868,2470.243824812151
,0,0,0
o-60%,652.8224283209715,1181.3328363675662,2502.870687362525
,0,0,0
a-60%,835.2010243660984,1607.6805298936356,2277.4619236166764
,0,0,0
a-60%,918.1021620267571,2027.9393623070296,2629.9261882609103
,0,0,0
i-60%,485.3824470689183,1401.906510575243,2628.6428163378037
,0,0,0
u-60%,574.747789018404,899.4844312468998,2588.735471722585
,0,0,0
a-60%,937.9157805061944,1476.9514534704995,2608.2541640330064
,0,0,0
u-60%,613.3262294519557,1469.4813879109784,2758.654164263897
,0,0,0
u-60%,446.16494243034674,1163.2624322285178,2562.4736275133087
,0,0,0
u-60%,540.9563025154715,1468.1649708008588,2648.3055091688184
,0,0,0
a-60%,954.78197096933,1733.9119254613372,2768.247624804398
,0,0,0
a-60%,684.9067575963404,1864.1256791803837,2813.1126762940908
,0,0,0
a-60%,861.0662674705769,1429.5428427114846,2473.468865607673
,0,0,0
@-60%,575.4007907665673,1321.5020495711772,1957.716622558017
,0,0,0
a-60%,818.1217340800137,1598.7182699108516,2650.317534153586
,0,0,0
i-60%,524.6781611330126,1612.1226908734534,2589.319935365329
,0,0,0
@-60%,665.9559750794327,1964.1618553970372,2897.088825922372
,0,0,0
i-60%,606.6916006672011,1765.8189423935983,2757.959282149369
,0,0,0
i-60%,406.8271905671839,2345.467950577655,2874.337555631858
,0,0,0
u-60%,398.3243688191996,1932.571997643133,2624.9075081399174
,0,0,0
i-60%,471.82908024251776,2200.901616418033,2855.201218617492
,0,0,0
a-60%,954.4694292389225,1969.9545868754694,2883.120106597852
,0,0,0
a-60%,715.0747098478233,1922.580978882491,2828.80551699662
,0,0,0
e-60%,581.346078178339,1548.443420662224,2647.3913144569055
,0,0,0
a-60%,543.3442033153226,2209.3953766188724,2851.975599135073
,0,0,0
a-60%,828.2778637133839,1851.4191667601847,2773.9231848792815
,0,0,0
u-60%,513.9163445142946,1221.007609310891,2804.279903497097
,0,0,0
@-60%,577.1315200968234,1774.9276172132907,2717.4813020874712
,0,0,0
i-60%,467.65313968551936,1804.9896761844075,2467.981402821866
,0,0,0
a-60%,820.4635778847397,1365.923066624703,2698.341533835094
,0,0,0
@-60%,571.3843837634169,2435.8954215458352,2888.811799675986
,0,0,0
e-60%,531.8897931033613,1794.5703572461994,2613.034912247513
,0,0,0
a-60%,610.5270221172677,1822.9990318756045,2717.7534928062255
,0,0,0
a-60%,770.4218517114446,2003.3031297940465,2774.457048717876
,0,0,0
i-60%,573.9330070525386,1941.4785936800185,2969.278883970446
,0,0,0
a-60%,696.4744331105156,1306.4899941236474,2748.65625737969
,0,0,0
u-60%,719.9779526458469,1178.9334496576737,2761.498516648691
,0,0,0
@-60%,621.5381040720844,1294.5962597666985,1979.9082595734726
,0,0,0
i-60%,477.99296672582363,1023.162738781609,2478.205175587513
,0,0,0
@-60%,651.4149987802813,1947.4598967833983,2758.8816928198385
,0,0,0
i-60%,619.1174815717781,2231.288146356547,3018.302634327107
,0,0,0
e-60%,620.7478133265685,2276.7598248714903,2951.954406899012
,0,0,0
i-60%,409.2664147733622,2005.2235808189603,2555.4337130696786
,0,0,0
u-60%,620.7304393070259,1788.9897551693323,2621.345501859285
,0,0,0
