phoneme,F1,F2,F3
,0,0,0
i-60%,430.3134703470765,1833.4737007158142,2595.2025585475853
,0,0,0
i-60%,756.597999700366,2236.9376233534313,3402.614397445632
,0,0,0
a-60%,715.7269987901992,2036.7781376663534,2342.3015269515313
,0,0,0
a-60%,810.819608877249,1665.801606426467,3005.3658836511754
,0,0,0
i-60%,404.23097866095463,2321.906453239697,2886.5605176951585
,0,0,0
i-60%,537.5215601728744,2199.0274046403447,2923.5432680737167
,0,0,0
u-60%,404.06845715908287,870.6070099386684,2360.4928552929464
,0,0,0
a-60%,670.4611462178378,1663.255766794098,2958.730677472703
,0,0,0
@-60%,622.7010500870601,1598.7091392683142,3020.039993669877
,0,0,0
a-60%,752.2792809228084,1620.524956191101,2987.6079027571445
,0,0,0
i-60%,384.96082197955604,1645.9262122253751,2604.8846323788816
,0,0,0
a-60%,635.6534549222583,2043.5790686562611,3126.0742098977644
,0,0,0
i-60%,460.97787079722076,2116.002775157512,2899.978813348885
,0,0,0
i-60%,477.9778368033975,2317.9796827385394,2914.12341334601
,0,0,0
a-60%,409.1548635387603,2128.2929278262595,2999.789520766093
,0,0,0
i-60%,511.63047845403884,1601.7182409142272,2662.061320525285
,0,0,0
u-60%,664.4144904364064,1719.1825651157546,3282.060186791353
,0,0,0
i-60%,591.2927824059872,2273.7150964534962,2940.2539629424155
,0,0,0
u-60%,583.4271723195918,1289.3040868718329,2435.449525350819
,0,0,0
i-60%,615.5377408092686,1962.4643249476105,2673.7452328875925
,0,0,0
u-60%,667.9389304371092,2108.1840120471275,2900.7129445393157
,0,0,0
i-60%,438.3293311452603,2168.77654662944,2466.741539809946
,0,0,0
u-60%,555.1041044428166,1439.9565313829569,2473.352943873941
,0,0,0
i-60%,477.74416297080376,2060.2799623286373,2431.8675503801937
,0,0,0
u-60%,522.7218750732453,1957.9521105211363,2599.9953425851218
,0,0,0
i-60%,501.85109098321044,2187.400138403442,2928.161209672857
,0,0,0
u-60%,608.4119489162729,2021.0348265609475,2567.1089860786633
,0,0,0
i-60%,449.49284070686343,2200.4689812256156,2655.90957465719
,0,0,0
u-60%,531.0566322162059,2198.579343290793,2413.958229091924
,0,0,0
o-60%,643.7626078817351,1897.6771103018466,2991.447232270262
,0,0,0
a-60%,666.1557863707694,1698.785659689403,2744.9274159657793
,0,0,0
e-60%,631.2268748584236,1921.2615717945444,3097.6840738534397
,0,0,0
a-60%,634.5081862896287,1750.6509362158806,3074.9919236863757
,0,0,0
u-60%,435.60873404519543,1443.25116477342,2846.4859996230985
,0,0,0
u-60%,498.30922668200634,1763.6017058547206,3316.86666830885
,0,0,0
a-60%,651.6161708782983,1637.9631956958917,2811.683482364164
,0,0,0
e-60%,765.7770447010527,1914.4223918284176,3041.9551896940916
,0,0,0
a-60%,765.4802120401395,1984.4947053694143,2920.394137389525
,0,0,0
@-60%,712.9548659682813,2186.613306411886,2873.5203044855275
,0,0,0
u-60%,723.8624093999403,1847.444372400165,3024.2919724764092
,0,0,0
a-60%,684.4146079358711,2019.3023966505418,2962.732148812553
,0,0,0
e-60%,718.0033103599143,1830.4242033679327,2906.251119202099
,0,0,0
a-60%,683.1801500192908,2106.985899563459,3063.655608899865
,0,0,0
i-60%,551.8177865569382,2084.4443865047347,2812.9400131729117
,0,0,0
a-60%,637.7871269943843,1954.4041398003972,3134.3044521263523
,0,0,0
i-60%,496.4821363643008,2307.875805373579,2503.0830132242977
,0,0,0
u-60%,514.1353111998429,1290.9588116455147,2885.230367360982
,0,0,0
a-60%,472.6852792736429,1261.9227289970172,2463.6901937134717
,0,0,0
i-60%,380.8354847427425,2249.5681707529516,2816.6541654386483
,0,0,0
i-60%,510.8639472399565,2097.0624821764673,2755.9444211007876
,0,0,0
a-60%,821.5037278370838,1548.9999632580623,2972.4000690000694
,0,0,0
@-60%,630.7803764385478,2015.367734154055,2878.6081455166013
,0,0,0
u-60%,469.3360137981195,2215.9535357477157,2736.8471962018975
,0,0,0
i-60%,424.71147642293215,2409.1769975928237,2828.2947237311823
,0,0,0
e-60%,644.3760079856546,2088.645945673497,2832.5391876898425
,0,0,0
u-60%,527.7296121720888,1234.0413197014902,2655.3598270212397
,0,0,0
o-60%,724.1095432175112,2247.1668540640294,3254.489915021957
,0,0,0
i-60%,578.4687392531938,2354.3526944329024,3317.890467685822
,0,0,0
e-60%,773.8313090453436,2038.3803528440435,3065.5203498606948
,0,0,0
a-60%,786.4350280477556,1831.6038031857443,2896.5267669422483
,0,0,0
