phoneme,F1,F2,F3
,0,0,0
i-60%,570.2366961819787,2117.0113564838416,2897.0933131281963
,0,0,0
a-60%,734.3329823852605,1941.851670710797,2496.0287615993866
,0,0,0
i-60%,462.2632921399544,1824.0684113150803,2769.969493564585
,0,0,0
a-60%,341.79351294309333,1440.4683574315475,2788.1072316148393
,0,0,0
u-60%,366.15253077490155,1864.288643873789,2718.322922273551
,0,0,0
a-60%,618.8725340560879,1786.016451822233,2696.8093110731434
,0,0,0
i-60%,385.84327896134266,2389.4865886054276,2967.5049809182055
,0,0,0
i-60%,421.36024998249934,2256.475754988066,2653.9659790776786
,0,0,0
i-60%,440.1037309248262,2450.4054570681214,3063.7800963670534
,0,0,0
a-60%,586.8666540207946,2159.89761639668,2905.6497320466024
,0,0,0
u-60%,414.80740238811865,1614.6248217413636,2620.6936730675056
,0,0,0
a-60%,663.0705927356793,1474.0929269815128,2616.1113457792917
,0,0,0
i-60%,387.7998931583258,2647.638816359585,3197.691207210667
,0,0,0
i-60%,435.6290798002571,2582.437698565974,3228.59941077757
,0,0,0
a-60%,715.3403954626022,1718.5148235244662,2771.5233287740193
,0,0,0
u-60%,458.0359839068247,1537.4838663917012,2913.8197055127293
,0,0,0
a-60%,849.2729694942024,1770.7281131841428,2700.307930775355
,0,0,0
u-60%,534.8303625742075,1544.5666132655206,2917.019019265323
,0,0,0
@-60%,495.3195172291692,2142.247226707793,2792.2676207570844
,0,0,0
i-60%,357.8586302041063,2502.255465504173,3259.2675340988253
,0,0,0
i-60%,397.6220445234873,2300.3134766038893,3112.7101262664355
,0,0,0
a-60%,930.1169019399181,1847.6977664824312,3374.402159032955
,0,0,0
@-60%,704.6416876946383,1834.7041443598919,3023.810699387765
,0,0,0
u-60%,551.6904845579408,1269.2462736122422,2570.8441952694357
,0,0,0
@-60%,491.7342063594595,1576.4173092718504,3248.2554925552663
,0,0,0
i-60%,501.142592607743,2333.9613818709827,2963.052318695811
,0,0,0
a-60%,795.7187838324824,2129.1656084525903,2828.4393481083393
,0,0,0
i-60%,466.1326691455473,2370.9817642982143,2943.1823360734525
,0,0,0
o-60%,486.20500308697535,1280.4708401079204,2692.141337872055
,0,0,0
i-60%,476.24250565546134,2437.5581695351625,3061.777419751689
,0,0,0
a-60%,697.4167825289517,1723.3389059624553,2137.627471668921
,0,0,0
e-60%,554.0492511302334,2109.1291391823215,2772.3039527190763
,0,0,0
a-60%,751.2711516717077,1921.0052275239968,2146.0584050126054
,0,0,0
o-60%,518.1491664336146,1097.2816170471292,2450.230765061443
,0,0,0
u-60%,448.6224935002857,1409.8458238728986,2814.5902558071475
,0,0,0
u-60%,447.5836762639842,944.9003823875125,2558.5542422823314
,0,0,0
u-60%,465.4706531495643,1496.0352516376045,2602.8247597216564
,0,0,0
i-60%,464.070848497323,2400.260314063573,2737.5663241972607
,0,0,0
@-60%,462.7813467676616,2037.5576414096286,3031.156585470025
,0,0,0
a-60%,629.0985561917223,1622.2821798179057,2703.2889799771965
,0,0,0
i-60%,435.2945504226776,2242.574849470019,3146.1755276503136
,0,0,0
e-60%,512.0839651326678,2065.4539120614063,2469.2387394642064
,0,0,0
a-60%,811.3006365736175,1811.487836443164,2635.5680151018896
,0,0,0
a-60%,667.1750355494834,1704.459765070215,2636.2329139950702
,0,0,0
u-60%,478.1517123994412,1592.379984872797,2806.502037954066
,0,0,0
a-60%,825.6181532936402,1814.7908402609185,2744.150589519925
,0,0,0
@-60%,517.3659330237382,2025.12045474762,2894.5903200004586
,0,0,0
i-60%,471.91082466913156,1963.89796285525,2973.4080629293217
,0,0,0
u-60%,473.27477526735413,1441.654798882379,2842.9595124838015
,0,0,0
@-60%,504.9924878318906,1373.794041938537,2348.0596812145122
,0,0,0
i-60%,542.1759859763179,2580.347749228135,3263.1619217292623
,0,0,0
a-60%,816.0419602163744,2322.6964134152486,3001.974615632684
,0,0,0
a-60%,764.2002414354246,1795.3169354583829,2753.5944928941144
,0,0,0
a-60%,811.5824291703665,1724.5533927601925,2115.613389536497
,0,0,0
i-60%,446.1351374832662,1770.6661985211967,2913.658444523242
,0,0,0
o-60%,498.738886480892,1347.5625277575393,2180.8837158105243
,0,0,0
i-60%,397.69032113403944,2336.6719509132613,3127.5089090949214
,0,0,0
@-60%,697.6329252673712,1542.054133381017,3629.1286986932923
,0,0,0
a-60%,769.6616807766899,1721.3227930343069,2279.4728635445395
,0,0,0
o-60%,499.2180960930166,1102.822186322452,2629.7219890994465
,0,0,0
i-60%,390.13211539064304,1182.526259340439,2606.0955904217376
,0,0,0
a-60%,898.2505624240607,1679.8503572186291,2910.629674846299
,0,0,0
i-60%,781.4089544687478,1595.0450778471381,2926.0872874080414
,0,0,0
@-60%,714.3889183678516,1947.9225846964214,2817.9852071925875
,0,0,0
a-60%,438.720022612355,1417.7252883795907,1985.3540774588578
,0,0,0
u-60%,465.7340260874128,1708.6331641209733,2747.8063846386103
,0,0,0
a-60%,908.7198026646458,1756.754961243316,2594.741169239153
