phoneme,F1,F2,F3
,0,0,0
a-60%,702.1739827965438,1469.7065862328939,3119.2089698524182
,0,0,0
@-60%,465.488667859831,1830.0874480978314,2613.469697485918
,0,0,0
i-60%,496.76941427237415,2756.3010575855737,3613.314727021298
,0,0,0
i-60%,562.2855706936105,2345.4901244639714,2950.702422474165
,0,0,0
a-60%,517.4945788596224,2067.8352126974687,2648.5079192101557
,0,0,0
@-60%,440.66338512483003,2284.779167661334,2813.1885449218353
,0,0,0
i-60%,328.2096151884952,2644.5523749021586,3134.6183023176613
,0,0,0
a-60%,721.2969554295647,1402.0365124049688,2437.531070439732
,0,0,0
o-60%,537.699511770987,916.3917912041815,2564.70059163036
,0,0,0
i-60%,590.8661816609867,1644.5380211346735,2366.1472280966727
,0,0,0
a-60%,683.0433451415241,2096.943958199552,3120.3382584666097
,0,0,0
@-60%,480.0331187977019,1766.5644283604875,2964.740972783076
,0,0,0
i-60%,475.0609597410834,2390.898228411945,2814.721115395993
,0,0,0
i-60%,479.6123870018231,2392.620181922141,2925.7889252484074
,0,0,0
a-60%,878.8678784468788,1669.7883596226459,2399.2643904126758
,0,0,0
a-60%,834.9287825486834,1725.7894969298534,2994.919809175857
,0,0,0
@-60%,527.0702684705672,1891.8786066920147,3056.375444101222
,0,0,0
i-60%,315.25008685841,2373.2287390770225,2910.2998764199874
,0,0,0
@-60%,373.7737837441475,2410.703192162563,3080.177415755365
,0,0,0
i-60%,396.6941679118456,2267.5602642851095,3038.6555870875654
,0,0,0
i-60%,500.66221308987,2216.047678718452,2959.729955037318
,0,0,0
a-60%,590.4266029617,1889.5588053467304,2840.0873145239784
,0,0,0
i-60%,428.1650880660648,2612.227243855205,3256.6573463362242
,0,0,0
i-60%,333.5258302765013,2218.106622662598,2845.276938616432
,0,0,0
o-60%,545.9849270447561,1112.405057054155,2377.7158898234666
,0,0,0
a-60%,815.1626149808172,1584.8174796453022,3009.8053556393206
,0,0,0
@-60%,466.99352732959085,1703.8235293460777,2526.8216017158175
,0,0,0
i-60%,401.44162231051774,2413.351519978443,3158.1945001737163
,0,0,0
i-60%,406.1717723946779,2398.689909648837,2921.721925852995
,0,0,0
i-60%,479.39924774855336,2373.53669057405,2894.227517732188
,0,0,0
i-60%,445.6504364734237,2219.2701191312185,2871.5458682634758
,0,0,0
@-60%,496.4992354904012,1277.0475536362574,2783.2037782631805
,0,0,0
a-60%,772.9671305499438,1679.09671472858,2403.063941501646
,0,0,0
@-60%,518.634480043119,1611.5028000351956,2100.965585994458
,0,0,0
i-60%,424.24097497627685,2197.6705419108316,2850.177025668902
,0,0,0
a-60%,664.7093912962758,1615.0941758175134,2833.137345972147
,0,0,0
o-60%,596.8308183342364,1354.129718081435,2377.594577624197
,0,0,0
i-60%,572.1637716616151,1965.7084626075023,2700.7199058243373
,0,0,0
a-60%,693.0393954128135,1748.508530298452,2401.785119410235
,0,0,0
a-60%,765.3762599274384,1772.7483635225083,2749.1959478355757
,0,0,0
i-60%,373.0696300661036,2191.5711756685,2819.4396401258714
,0,0,0
i-60%,515.4390576421184,2474.55746066945,3321.9033541369754
,0,0,0
a-60%,1044.0891241570935,1861.0067162095054,2835.437836080293
,0,0,0
@-60%,749.0272431094802,1767.6634972952745,2775.173941780461
,0,0,0
u-60%,320.4178715787306,1300.0979659559428,2676.1444820891666
,0,0,0
@-60%,333.3870887043176,1512.5587840984572,3065.0331096984582
,0,0,0
@-60%,376.99006827141613,1665.508311690367,2779.139732275605
,0,0,0
a-60%,582.3442340295691,1696.0813906350725,2945.991547220544
,0,0,0
a-60%,732.3435678488289,1660.8426861446408,2256.0940198532912
,0,0,0
i-60%,355.543913143186,2217.150688902499,2781.169631993292
,0,0,0
a-60%,614.424914865065,1356.6897406171126,2542.5832302982963
,0,0,0
a-60%,727.5949101767244,1828.109756109957,2140.87837993964
,0,0,0
i-60%,345.47614265029404,2367.9521555063034,3196.0822307444546
,0,0,0
i-60%,523.3734049742201,2156.4077966679447,2915.3810786897006
,0,0,0
a-60%,930.6277828994638,1787.0478793955513,2636.536032277374
,0,0,0
i-60%,401.0253535906677,2133.275367978928,2781.2650685218896
,0,0,0
@-60%,471.25447992907357,1288.1067610779055,2758.1964975854066
,0,0,0
a-60%,849.5618066135639,1736.6891212065004,2473.029976053095
,0,0,0
i-60%,637.6165723300986,2107.038947134791,2736.4844543750783
,0,0,0
@-60%,358.6580214278683,2408.4593415870045,3129.914315595656
,0,0,0
a-60%,715.7927957857693,1769.2305392109695,2419.322404305946
,0,0,0
a-60%,863.1914011920817,1759.8532225221286,2386.776447125596
,0,0,0
@-60%,732.7110690380648,1264.5029120369436,3229.5208027432095
,0,0,0
u-60%,375.45763461648454,986.4994277539714,2351.672447807053
,0,0,0
i-60%,392.06299615163687,2329.145240063365,2759.1092594205184
,0,0,0
@-60%,534.6365274020154,1901.4465709376416,2515.7284054974457
,0,0,0
a-60%,868.1131339203777,1776.8180562480213,2781.1564540963855
,0,0,0
@-60%,489.8821634185778,1887.541682308734,2805.116886275442
,0,0,0
a-60%,970.4763977430838,1774.0242442358108,2811.865205898702
,0,0,0
a-60%,612.7410585156094,2083.497263511883,2928.659755726794
,0,0,0
i-60%,710.250026870656,2166.7924400622414,3029.658658653928
,0,0,0
a-60%,896.5619463275532,1794.8461019385868,3013.7411217592517
,0,0,0
a-60%,731.5743340634674,1295.1251883391415,2842.5627980540603
,0,0,0
u-60%,729.4476871300543,1067.4186825386214,3008.866194262637
,0,0,0
a-60%,901.8477665964011,1608.555228698765,2919.067848289334
,0,0,0
u-60%,557.4665223111882,1160.2478827114949,3052.8251372333284
,0,0,0
o-60%,705.4629254984891,983.4349478810751,2988.9701800694993
,0,0,0
a-60%,897.67607999221,1623.7778796007412,2747.3101410839486
,0,0,0
@-60%,681.641279386863,1675.3615560196429,2690.7174403805307
,0,0,0
@-60%,520.2998449436691,2108.2215355732483,2596.7889309945817
,0,0,0
i-60%,369.2823837834457,2525.64219862862,2988.966085164206
,0,0,0
i-60%,466.12845195075334,2556.2020705425034,2997.5441486130385
,0,0,0
i-60%,395.95909907690526,2607.242840211932,3059.5838196486975
,0,0,0
@-60%,627.5919505911095,1857.3536977445742,2706.0682951354693
,0,0,0
@-60%,472.0394785384398,1338.3487455156048,2052.3538680854103
,0,0,0
u-60%,349.2675092086787,971.6318395185772,2656.5136954649583
,0,0,0
i-60%,301.23691385497006,2487.4800608491487,2786.7396248376585
,0,0,0
u-60%,351.06968977768247,1816.503775847105,3181.215964353909
,0,0,0
e-60%,486.18855243036467,2248.2435974918108,2689.11135080455
,0,0,0
@-60%,442.8531587381928,1429.2798496755856,2371.429500598512
,0,0,0
u-60%,612.2544951988039,1803.9280859943165,2997.130873004552
,0,0,0
u-60%,352.9378031397099,1127.769357388774,2895.1673500262996
,0,0,0
