phoneme,F1,F2,F3
,0,0,0
a-60%,714.4891076721297,1203.4610268922777,2400.2963357486974
,0,0,0
u-60%,441.876688524277,1146.3753692672256,2852.1354547558603
,0,0,0
a-60%,509.4415496705598,1274.4626185991565,2196.416982265181
,0,0,0
e-60%,552.6819500365642,1483.5644930565245,2975.4262813069054
,0,0,0
a-60%,677.1028325145494,1184.8222391466522,2475.771139078467
,0,0,0
i-60%,350.60836447839233,2062.4475428060196,2799.7995148306827
,0,0,0
a-60%,523.8884268839878,1805.9535017247804,2152.5311050453265
,0,0,0
i-60%,476.14318280273693,1910.4607317372602,2867.953123690609
,0,0,0
a-60%,468.18699157358947,1486.8267985492885,2569.3633273491796
,0,0,0
u-60%,420.7889458905756,794.0652274652924,2489.1168691947546
,0,0,0
i-60%,362.9707644661207,1840.939488549744,2509.428228699171
,0,0,0
@-60%,422.65527510376904,1763.9926735259805,2895.6073918552183
,0,0,0
a-60%,456.68243262370055,1594.9097016883675,2832.1007553467703
,0,0,0
u-60%,338.9324453067627,1180.366204389852,2562.184674436559
,0,0,0
i-60%,328.93084199728673,2333.484209761519,3003.8602673833648
,0,0,0
i-60%,498.21140560765866,1737.2832340947605,2391.505439116418
,0,0,0
a-60%,637.5564734300502,1141.5237891088398,3094.3273713487392
,0,0,0
u-60%,481.09743908667883,920.6051192552966,2725.5908046166205
,0,0,0
a-60%,586.3645400195122,1313.343773494737,2413.572222912638
,0,0,0
@-60%,390.60424814901955,1151.79989533981,2708.555348002364
,0,0,0
i-60%,443.6938584167859,1782.5544160067411,3112.6630097711977
,0,0,0
a-60%,492.85515592891176,1061.95758711957,3008.6169916816793
,0,0,0
u-60%,535.244842001175,1059.6639311740555,2613.1834268107946
,0,0,0
a-60%,575.8011553906625,1123.9304824887718,2427.5946478965643
,0,0,0
a-60%,576.5342090843005,1135.4023748813886,2462.278435155669
,0,0,0
a-60%,703.5384317566706,1340.242409839809,2509.970536660361
,0,0,0
i-60%,502.3842432662692,2263.709429339026,2976.679917386198
,0,0,0
a-60%,455.69842473175123,1315.9492411094275,2411.667512842488
,0,0,0
@-60%,463.68834196250253,1498.8259946293995,2747.362323728273
,0,0,0
i-60%,449.791271103874,1660.11528173586,2857.537300201282
,0,0,0
a-60%,472.20632148064425,972.705047831681,2457.0034156327074
,0,0,0
u-60%,518.9046901266734,1061.173462303351,2784.1306084187822
,0,0,0
a-60%,495.62919775451877,1117.2872000574432,2524.1049504408
,0,0,0
u-60%,402.34063556353226,1734.1452884193216,2949.7821030906703
,0,0,0
u-60%,424.964400654961,1481.8432083955547,2955.2353008410614
,0,0,0
e-60%,439.4583022585873,2325.7350420345742,2684.2271827735444
,0,0,0
i-60%,404.19156990513346,2062.8093830756125,2929.3215875336305
,0,0,0
e-60%,417.4900525675271,1980.3337167658947,2341.4703086649974
,0,0,0
i-60%,433.7816618219987,2343.8710800027407,2915.046343478207
,0,0,0
u-60%,387.4800694514905,1912.4495568418367,3088.2111801760148
,0,0,0
@-60%,413.09292052829556,1227.1791115028707,2450.933999927738
,0,0,0
@-60%,475.43310870098173,1728.0798627115212,2262.4229066668813
,0,0,0
u-60%,460.85073101138255,900.9172019841775,2402.283911141313
,0,0,0
a-60%,689.274969835279,1125.0971421390545,2533.6518283069186
,0,0,0
@-60%,414.3949564770852,1238.1904125815247,2305.121052807161
,0,0,0
a-60%,423.8061322266735,988.7595969006839,2453.726915285496
,0,0,0
u-60%,394.95024591465153,941.9897264935871,2555.9485652779445
,0,0,0
i-60%,353.41012730315566,1017.2820754605951,2374.1820082099316
,0,0,0
u-60%,359.7578617477452,855.8126247573148,2535.240674582017
,0,0,0
i-60%,429.4219141884684,2165.907217710356,3094.130607172197
,0,0,0
u-60%,376.5723297903008,823.4675944201978,2548.06682775451
,0,0,0
a-60%,701.781499055397,1267.722114417829,2860.348592194354
,0,0,0
a-60%,447.71245957904426,1117.3191581636506,2189.2199297510783
,0,0,0
a-60%,510.5700479453362,974.8304743611298,2541.902480884835
,0,0,0
a-60%,697.5465209335995,1108.9883138606183,2574.874046165839
,0,0,0
a-60%,525.1982482165905,1087.0261570591372,2414.6476449162365
,0,0,0
a-60%,471.17959589694505,1683.8416188569013,2785.420933441765
,0,0,0
e-60%,598.1334563864141,1283.366144043629,2546.8203311350917
,0,0,0
a-60%,590.4556276289245,1642.5393563249797,2668.860867506747
,0,0,0
a-60%,527.7235817523206,949.6312068309048,2452.734468965903
,0,0,0
a-60%,453.94390849313277,1374.0980603713565,2626.4591308973263
,0,0,0
i-60%,380.6814226977245,2056.303498663648,2721.7250828742526
,0,0,0
a-60%,453.8947452607081,1682.6226087947584,2632.4303579627176
,0,0,0
i-60%,507.60488154671515,1724.6921578239765,2890.819462007998
,0,0,0
a-60%,625.017770251559,1200.9470605780348,2707.549990718415
,0,0,0
u-60%,631.9285866121377,1066.2046069302085,2458.6632834285806
,0,0,0
u-60%,432.45726890428904,1218.5216216944054,2562.6848502432385
,0,0,0
a-60%,695.8047190963987,1226.2757169259621,2161.734020177658
,0,0,0
a-60%,676.5654401688544,1161.3030531991174,2807.3728720108406
,0,0,0
@-60%,431.5534506721682,1568.437562226152,2552.1701288135782
,0,0,0
o-60%,365.81001738880497,864.107180203921,2641.133142740272
,0,0,0
i-60%,428.5359113222678,1601.7039640421824,2313.3141939323273
,0,0,0
i-60%,409.7184941779486,1704.5114803611668,2636.921333372163
,0,0,0
u-60%,373.3633173228262,1085.9214172022105,2757.1166681394648
,0,0,0
i-60%,423.50293128936636,2329.982329011876,2800.0540561132248
,0,0,0
@-60%,389.717538018056,1836.458411124116,2681.525741955291
,0,0,0
u-60%,349.5585930303629,1411.3748211647085,2587.580461777057
,0,0,0
i-60%,358.40195918801794,2110.317606248208,2950.938382156055
,0,0,0
i-60%,341.6632180418354,1902.856926790702,2983.3253687552033
,0,0,0
o-60%,553.8775900923146,1024.074784534581,2645.7828889325506
,0,0,0
a-60%,593.1254097205604,1238.9815504659364,2177.3698172249483
,0,0,0
a-60%,570.2955052403279,1264.9652075170245,2341.7629734767947
,0,0,0
e-60%,454.0581405789316,1773.744823886384,2243.4518396756785
,0,0,0
i-60%,468.19647042871935,1777.465034710749,2303.361640619564
,0,0,0
e-60%,544.4542814293048,1492.186640232506,2246.8388453240805
,0,0,0
a-60%,603.2888508886215,1693.0615022047346,2612.9821406586293
,0,0,0
a-60%,671.7481082588532,921.861796348049,2423.019786719784
,0,0,0
@-60%,402.4267609024672,1475.2537497946087,2525.3062176239964
,0,0,0
u-60%,448.211927018217,2300.810733964343,2977.134723438691
,0,0,0
u-60%,400.18211000075524,2212.8847492110876,2603.5642749809313
,0,0,0
a-60%,340.32181716319286,1968.3057489588632,2545.145890803719
,0,0,0
e-60%,436.74131180035744,1562.9281630378714,2391.3759301254845
,0,0,0
a-60%,490.62256824839886,1594.1334180979547,2309.897910412349
,0,0,0
e-60%,448.3025557709748,1814.8479274968195,2759.187688617262
,0,0,0
u-60%,400.91744366025114,1343.07450257209,2235.5411770832216
,0,0,0
i-60%,296.23436443147614,1804.1129195366245,2485.909504490043
,0,0,0
u-60%,455.72796282542174,1136.7411558369397,2280.3349366405278
,0,0,0
a-60%,577.4901524599703,1077.289673517096,2389.207486256453
,0,0,0
u-60%,511.5509864444872,1188.834780080049,2306.808558022972
,0,0,0
e-60%,361.994586021452,2096.9099614252377,2710.1000333209895
,0,0,0
e-60%,476.6528444865529,2208.949040131461,3334.332900627946
,0,0,0
a-60%,415.82268566448363,952.6182376989315,2131.012386123593
,0,0,0
i-60%,504.6281139873555,1646.211374757095,2812.8025316561057
,0,0,0
a-60%,642.76477640359,1301.3351314826518,2382.7651823941346
,0,0,0
i-60%,499.6703468411571,1506.9359787609128,2273.7625273223534
,0,0,0
i-60%,441.17924124368784,1427.1623641859337,2547.501527305646
,0,0,0
o-60%,381.28895106848694,955.0377584462237,2286.91931153895
,0,0,0
i-60%,339.21055602863925,1682.609175410675,2409.967091182561
,0,0,0
@-60%,357.5647741691397,1326.889554989194,2631.4612001868636
,0,0,0
u-60%,408.27688153569017,839.9119516095736,2668.0747401009603
,0,0,0
a-60%,505.2678918572439,797.2767265481954,2573.2553175086005
,0,0,0
u-60%,535.0972500734781,909.7222687365262,2444.5011120892996
,0,0,0
a-60%,542.562854862912,910.5494815903713,2445.3655672309123
,0,0,0
o-60%,440.461020214728,818.8704943812847,2597.7491557099406
,0,0,0
i-60%,449.2827316050429,1112.228938560716,2384.0264458051033
,0,0,0
i-60%,406.87089461617626,1725.2798117614313,2986.8808699653273
,0,0,0
@-60%,376.9431008648579,1435.9921730491697,2944.2316696094294
,0,0,0
u-60%,448.7078712579008,787.3259511676962,2671.3897976232206
,0,0,0
a-60%,464.01679886946687,721.0985850701355,2619.962345001149
,0,0,0
u-60%,568.2902130768199,930.9333033617776,2605.388724471502
,0,0,0
a-60%,591.6497362300053,872.8612276594638,2288.373305096696
,0,0,0
i-60%,435.0051301560041,2019.4932643336742,2846.5126357143095
,0,0,0
@-60%,435.15614349059916,1136.4385793633833,2422.4247917482617
,0,0,0
u-60%,415.24559788637737,856.5171314506297,2627.181870835409
,0,0,0
e-60%,555.6341963169743,2158.8273083550257,3087.741016969459
,0,0,0
a-60%,718.9527926951749,953.8175451298365,2439.4292037768673
,0,0,0
a-60%,629.3652344252231,931.6990617224843,2464.9173705558446
,0,0,0
@-60%,414.6349819241895,2084.4656246117443,2886.346083201152
,0,0,0
u-60%,331.24354000674816,1706.4013215839782,2991.7730281544095
,0,0,0
i-60%,396.432979075129,2077.3065830990067,3538.792745719365
,0,0,0
@-60%,368.43836650566226,1917.7649741304144,3341.3087808884206
,0,0,0
u-60%,393.8770515970313,1237.2088533193155,2547.3753430656425
,0,0,0
i-60%,361.01783303391136,1267.9971098783253,2645.896139453457
,0,0,0
o-60%,404.34490685937135,949.4251416586805,2604.883795497753
,0,0,0
i-60%,428.23342016323835,2043.910686859798,2977.005585038027
,0,0,0
i-60%,414.6784160065074,2062.378129282244,2948.179302193088
,0,0,0
i-60%,421.19870472001367,1890.2398573074308,3087.509713807646
,0,0,0
a-60%,512.0671795006542,1762.9745793824686,2623.5409592502424
,0,0,0
o-60%,427.6454307475739,943.2450852849635,2152.258668470454
,0,0,0
a-60%,426.3516803577171,1833.8868354308863,3363.0243408822535
,0,0,0
e-60%,364.06465453891764,1879.17967018313,3166.1595537095764
,0,0,0
i-60%,403.7101267390135,1899.3699617200632,2851.271503721998
,0,0,0
a-60%,558.001789649021,1324.3194076781576,2462.189206265113
,0,0,0
a-60%,483.93627578710675,1276.4854174189195,2268.8176652911466
,0,0,0
a-60%,562.9030286366748,1161.3133284655653,2592.6218421462404
,0,0,0
i-60%,464.8620486242335,1832.5980689494918,2710.5697861672047
,0,0,0
@-60%,451.3260622464556,2136.7859829406534,2519.82832036828
,0,0,0
a-60%,722.2866589280342,1381.431946704334,2741.7044567672183
,0,0,0
i-60%,385.5755174469425,1079.3642293323142,2641.7327896727097
,0,0,0
o-60%,346.13547182556306,784.1298068227601,2500.0170418187577
,0,0,0
i-60%,434.7049571990353,1921.4760928685434,2618.0158259219957
,0,0,0
i-60%,376.88598040448426,1968.4820375885636,2723.8816450615695
,0,0,0
@-60%,406.4570502203755,1994.572052107436,2540.024696278292
,0,0,0
@-60%,398.28818796792586,1754.7152386367156,2827.5794663509505
,0,0,0
i-60%,308.00694175461683,2179.1284577099404,2994.7003417990727
,0,0,0
i-60%,359.596650383709,2168.74942718393,3087.033791564392
,0,0,0
u-60%,379.6759699011941,1169.8378050612846,2600.5136048984614
,0,0,0
@-60%,448.04999720156667,1113.8449410261715,2488.507395241363
,0,0,0
@-60%,473.3254109911525,1096.7237751923312,2590.0231337021396
,0,0,0
@-60%,440.70231078787987,1902.6291087641673,2136.8582192267436
,0,0,0
i-60%,331.8062329475258,2083.1184084802117,3320.98209266631
,0,0,0
i-60%,447.421825056775,1856.5148186469169,2798.82840682373
,0,0,0
a-60%,541.0092573805966,1125.157295450351,2126.400254794491
,0,0,0
u-60%,559.6511595460989,1026.4706734825886,2386.3118203363956
,0,0,0
a-60%,590.8168742682943,1073.5169616989958,2106.0075575946526
,0,0,0
