phoneme,F1,F2,F3
,0,0,0
e-60%,1206.7891371436162,2291.85032278295,3544.0080052019307
,0,0,0
i-60%,289.3346087928477,1861.8276883509075,2775.9097087202645
,0,0,0
u-60%,427.8106498002798,1758.276435141076,2125.775132690703
,0,0,0
i-60%,251.60740971298648,2121.21381467669,2796.9193993752997
,0,0,0
i-60%,376.9677759278608,2072.6552617164284,2583.8631396779456
,0,0,0
a-60%,464.83242760082913,1710.2441042328182,2642.2798987690408
,0,0,0
i-60%,552.920460788128,1913.8412223578505,3106.4703094887145
,0,0,0
o-60%,398.6641554926427,968.4519151801649,2414.8892316239076
,0,0,0
i-60%,402.6387656617474,1643.1037265817201,2424.54893115911
,0,0,0
a-60%,533.7535656950864,1479.2120275336868,2546.999971151925
,0,0,0
a-60%,687.6034361248841,1251.7225695294967,2557.533900162681
,0,0,0
u-60%,433.03680313209173,1399.3426496068873,2799.8208047328294
,0,0,0
a-60%,600.909912672115,1788.8817348673117,2989.3390130687276
,0,0,0
a-60%,605.2024075108009,1228.100296289803,2372.7752554781882
,0,0,0
a-60%,717.9023785900008,1070.399105444701,2438.921280366597
,0,0,0
e-60%,631.1701213065439,1663.6342885307931,2512.9295630153947
,0,0,0
a-60%,1094.0150897116825,2239.2743435344346,3566.642622337068
,0,0,0
i-60%,295.6021959929993,2035.0644551974399,2576.4586687279616
,0,0,0
i-60%,228.94260781066416,2127.6546646216248,2734.84579047458
,0,0,0
i-60%,843.8956062938652,2399.1045123323884,3229.9062471153707
,0,0,0
i-60%,537.4249137820065,2019.6905636218908,2739.2256778738456
,0,0,0
a-60%,573.4250803960276,1500.6801060068135,2545.0381752896506
,0,0,0
a-60%,596.7498376635585,1292.515129452554,2681.7861248140266
,0,0,0
a-60%,631.3190945043122,1541.4375295654972,2983.21408419402
,0,0,0
i-60%,336.27610731517825,1633.244442294514,2118.2315207796664
,0,0,0
o-60%,444.2276370790215,888.1750606293617,2442.258501405156
,0,0,0
a-60%,627.5181376266933,1454.1321975915039,2431.5195049339072
,0,0,0
e-60%,475.4932030558168,1644.1216067147925,2569.434890373469
,0,0,0
a-60%,433.6586875198021,1672.3928779742248,2801.52053522056
,0,0,0
i-60%,493.4028971045331,1822.4039843278078,2289.5058112837314
,0,0,0
a-60%,413.3870179623436,1873.8252946046398,2247.0360608820642
,0,0,0
