phoneme,F1,F2,F3
,0,0,0
@-60%,600.6424712965659,1845.7061211117166,3057.130319544553
,0,0,0
@-60%,789.5261673819578,2169.1540925503837,2947.3879034998117
,0,0,0
u-60%,692.0189534351076,1161.6136100982899,2605.1485838717826
,0,0,0
@-60%,508.126950512903,2153.6228623003576,2981.394123404203
,0,0,0
i-60%,464.2437355151675,2380.8853917834913,2724.7251262826303
,0,0,0
a-60%,837.2902340090337,1595.55227614853,2476.922599360484
,0,0,0
@-60%,406.6489179819356,1932.053539346625,2998.605070100087
,0,0,0
e-60%,458.5534451260199,2200.797653303097,2963.5389083008868
,0,0,0
@-60%,605.2183830559475,1525.9728036615506,2423.937646188666
,0,0,0
i-60%,540.0079052722298,2289.6238785311502,2892.986596808369
,0,0,0
a-60%,579.7805066783558,1592.5306238944208,2559.7670896433397
,0,0,0
e-60%,431.0382400191268,2061.607699066698,3063.204109923509
,0,0,0
u-60%,563.5302409033918,1546.9942309177534,2785.453569922851
,0,0,0
i-60%,405.0394394739657,2645.086053150005,3349.1511220718453
,0,0,0
@-60%,648.4020732434912,2211.078705879803,2685.0206213706465
,0,0,0
i-60%,515.5197923053167,2052.9600614384253,3113.608040939265
,0,0,0
o-60%,624.7739183168737,1049.860086074268,2796.603989513953
,0,0,0
i-60%,442.55536929316816,1533.8328173085035,3193.3756605253106
,0,0,0
i-60%,354.2409055497739,2407.817324384719,3235.378796512989
,0,0,0
i-60%,311.9576073907775,2268.940194701385,3080.607338548621
,0,0,0
i-60%,448.421763749383,2718.3921758841834,3182.6453464332076
,0,0,0
u-60%,381.0090809119171,1135.202329213361,3020.878131042035
,0,0,0
e-60%,354.0020645295754,2478.3653708688335,2919.4507685316958
,0,0,0
i-60%,421.6265722682255,1814.8898510886386,3083.3176143990904
,0,0,0
a-60%,813.5680458312885,1499.612073061427,2671.35829254207
,0,0,0
i-60%,505.0963425033941,2172.9505579303323,2935.4407479531233
,0,0,0
a-60%,865.6807974088488,1734.4048514015774,2824.2237877456046
,0,0,0
@-60%,429.60372148381686,1495.1930227377875,2939.765964171122
,0,0,0
