phoneme,F1,F2,F3
,0,0,0
e-60%,536.7843731264965,1936.6761227684242,2484.736947845298
,0,0,0
a-60%,930.0575741288927,1560.425097076572,2577.8817931216768
,0,0,0
u-60%,519.9029039243699,1246.8888106561556,2144.0581644265517
,0,0,0
a-60%,767.7316614256205,1366.4173329154803,2485.737373769589
,0,0,0
u-60%,402.22765446231267,1095.6124574109442,3146.8175047303084
,0,0,0
o-60%,594.5619045680176,977.9430405250696,2603.933900897634
,0,0,0
u-60%,507.6462422070302,1096.3499498651154,2917.217484816428
,0,0,0
@-60%,640.8164275236823,1704.2306920376805,2694.3105147028414
,0,0,0
a-60%,858.143447182172,1433.7036763186836,2381.7183628083517
,0,0,0
i-60%,386.45663019210525,2401.9472670975124,2723.8119307177835
,0,0,0
u-60%,392.8724367180251,924.4064182239249,2943.6291512936286
,0,0,0
@-60%,580.9506822870462,2132.93433904803,2827.194585414197
,0,0,0
a-60%,925.3228511947008,1550.2034572185908,2876.64285708512
,0,0,0
o-60%,589.2716106137027,1067.8122938240515,2618.0706563288345
,0,0,0
e-60%,594.9420813082621,2292.135425004806,2834.484823750435
,0,0,0
i-60%,535.5820333820587,1906.4866273892173,2862.8978717232576
,0,0,0
a-60%,653.7683734111473,1499.8228468669256,2885.241181117745
,0,0,0
u-60%,540.3760619608498,1092.9382240442803,2568.44823095603
,0,0,0
@-60%,551.6229186660886,1720.599684269718,2625.344273854539
,0,0,0
@-60%,610.9504360681398,1784.0937541694764,3077.6026742206122
,0,0,0
@-60%,667.424514056883,2029.3680126212582,2976.9766400178287
,0,0,0
i-60%,434.45507144857567,1829.3222144635552,2693.486157948578
,0,0,0
e-60%,454.9772743850722,1667.295924603393,2617.0771229269467
,0,0,0
a-60%,687.4700161152832,1623.3159292588718,2501.894332525562
,0,0,0
u-60%,371.69796492170855,1547.2135237702225,3012.6282701334594
,0,0,0
u-60%,395.41420826048363,2168.421437631051,3268.9758396776833
,0,0,0
e-60%,453.67512994513555,1978.8786985244908,2468.546768056158
,0,0,0
@-60%,424.8699120757477,1696.8316656347436,2619.2566754148243
,0,0,0
a-60%,443.44705909651464,1840.7082118181718,2776.8480485777613
,0,0,0
@-60%,736.0271803989353,1944.3273753064482,2545.7404657276147
,0,0,0
u-60%,400.116629709241,1312.6099699133408,2802.8503572371797
,0,0,0
i-60%,359.3917095114463,2211.8757373023404,2802.3102546120076
,0,0,0
i-60%,370.57536496370443,2144.7932115255667,3430.093683750677
,0,0,0
a-60%,769.9581177075669,1997.0523039878783,2735.0122997006883
,0,0,0
a-60%,731.875647675636,1833.5270859893767,2415.9836194214167
,0,0,0
i-60%,621.6790200854911,2165.6537709507256,2640.561710555842
,0,0,0
a-60%,908.9751027974116,1461.0818986731476,2384.5625363716135
,0,0,0
u-60%,544.787411644704,1236.4764243953366,2368.907516599931
,0,0,0
i-60%,397.569229495593,2245.3348309156727,3097.625817801237
,0,0,0
i-60%,510.9080390370017,1680.9059003235582,2472.721442172076
,0,0,0
a-60%,962.7715548707492,1704.8526636887393,3128.4433750712315
,0,0,0
i-60%,428.0065549314757,2295.4704386771577,2956.588304854981
,0,0,0
i-60%,378.2725556938057,2484.3560001265287,3189.178182233692
,0,0,0
a-60%,715.2936569777318,1700.768278545389,3208.5736707656324
,0,0,0
i-60%,440.97890859017264,1921.0596553301505,3286.483986718944
,0,0,0
@-60%,571.2615943507145,2155.225694231159,3404.390683051429
,0,0,0
@-60%,531.3837901145042,2034.5713143166547,3187.9677704748897
,0,0,0
i-60%,665.7666004536649,1809.850645360168,3137.3181245219857
,0,0,0
a-60%,730.840609903306,1346.5231545525317,2796.0134752558665
,0,0,0
a-60%,867.0577894804646,1304.9344349824994,2557.3295498677176
,0,0,0
i-60%,315.06205951333544,2420.2242967350976,3143.769055394315
,0,0,0
i-60%,324.48109044293045,1695.4378595184533,3214.8312401621006
,0,0,0
a-60%,719.7523292292007,1479.5695959233344,3203.156438075911
,0,0,0
u-60%,516.8803694227918,1471.8839428889562,2642.523666485949
,0,0,0
a-60%,569.742702767862,1633.0209563318076,3021.767224927876
,0,0,0
e-60%,508.01066285349975,2185.511344466853,2835.167950377986
,0,0,0
a-60%,662.9508461376415,1393.8480532897663,2602.059350655015
,0,0,0
u-60%,471.9324363560285,1279.5066633280637,2960.310907342056
,0,0,0
u-60%,407.1569923508536,1231.2867198772287,3308.8745657186964
,0,0,0
@-60%,377.1068500253317,2249.267215163737,2719.6284760159147
,0,0,0
@-60%,574.9484488831904,2073.8542999697484,2556.9526402717524
,0,0,0
u-60%,410.9761518996292,1330.8986105163613,3119.1237599521874
,0,0,0
i-60%,353.9032489149132,2593.7525459114686,3342.6234818761786
,0,0,0
i-60%,353.3551955730334,2489.532986188384,3264.3644838635637
,0,0,0
@-60%,462.3139302672979,2212.1436959515927,3018.1246961446914
,0,0,0
i-60%,366.83714318322916,2013.8784399621245,2890.387170525886
,0,0,0
i-60%,390.1926600097775,1948.3112987035029,2644.0535975274393
,0,0,0
u-60%,386.84715740619527,1548.5027189521188,2682.8677125357885
,0,0,0
u-60%,388.6828726709575,1365.368326118224,2709.521254786515
,0,0,0
i-60%,300.75373181528687,2599.1607191855887,3371.753598469055
,0,0,0
u-60%,490.5134544872946,1540.5499202241945,2871.1362140742003
,0,0,0
a-60%,428.1555135457759,1466.554308107358,2692.25975225851
,0,0,0
e-60%,446.2826009740414,1966.118408414394,2581.4650155400905
,0,0,0
o-60%,513.8809471415381,1271.3689586365913,2673.8160074860443
,0,0,0
a-60%,628.2555265339322,1458.1627441335706,2855.214712983015
,0,0,0
i-60%,355.9474718817592,2159.810761493021,2615.5909486863266
,0,0,0
@-60%,416.56845484809367,1810.3124183808227,2797.1422567134014
,0,0,0
i-60%,419.23386799975964,2234.581807637463,2784.5886943805936
,0,0,0
@-60%,397.6088924092009,1984.6857689804901,3333.777993619351
,0,0,0
i-60%,419.73369034926026,2251.2575597128616,3049.682091226815
,0,0,0
e-60%,631.1121401360146,1858.0107659170226,2543.977198573226
,0,0,0
a-60%,930.6021682110365,1519.4359124820216,2672.6297774545924
,0,0,0
i-60%,424.8343718906333,2431.839487577434,3244.7829066483
,0,0,0
i-60%,476.346493531051,1975.79176544708,2572.5988622474642
,0,0,0
a-60%,1121.3606322798432,1610.3610727015714,2631.9109384628296
,0,0,0
u-60%,494.9809346502196,1355.236200047153,2067.934489841843
,0,0,0
a-60%,573.7713887932102,1529.5328201458838,2980.4326260468088
,0,0,0
e-60%,410.3544996824908,2407.3568075901917,3156.855275850073
,0,0,0
i-60%,495.8913050388581,2238.9381103001324,2802.370493824683
,0,0,0
a-60%,636.8053786795448,1655.9450153286825,2719.6382502094066
,0,0,0
a-60%,612.0965626924894,1264.3566732907238,2620.9821619815943
,0,0,0
u-60%,526.8458979286006,1140.3014738879203,2671.762137560366
,0,0,0
a-60%,609.4056295888811,1245.956370575444,2615.927213600926
,0,0,0
@-60%,443.92483029299865,1994.355390816889,2928.6994289481195
,0,0,0
i-60%,472.25167116029746,2254.8309228775242,2928.9595063008696
,0,0,0
a-60%,672.0604508959178,1573.9459124330456,2216.4032612999777
,0,0,0
i-60%,456.99612012438,2268.4180471738237,2719.008246252894
,0,0,0
i-60%,353.44414145422854,2390.7474885517613,3362.5504140382186
,0,0,0
o-60%,450.91009353612947,1089.512301819409,2847.061193737738
,0,0,0
i-60%,393.9141685240878,1314.4524797687511,2657.494648520167
,0,0,0
o-60%,362.56117230208406,1183.2837260290398,2709.8034457429026
,0,0,0
@-60%,550.7590062715044,2211.895762384909,2597.315977403755
,0,0,0
@-60%,504.0850248128262,1674.8167457155275,2572.373829433125
,0,0,0
a-60%,728.3756982148849,1457.6448945963225,2856.4622436915906
,0,0,0
u-60%,408.55880495080476,962.0479368101641,3147.3150578823747
,0,0,0
i-60%,419.65477836306934,2803.5681450791762,3879.045433988577
,0,0,0
a-60%,657.915736946951,1758.2841729840893,2634.677481027102
,0,0,0
a-60%,765.7124076757732,1459.627351040705,2533.5175775492266
,0,0,0
@-60%,461.4597350121924,2051.7574911689135,2909.151551229526
,0,0,0
i-60%,472.11831094926436,2030.0238740656864,2826.4770126400476
,0,0,0
a-60%,568.3824059240299,1670.8688546365036,2782.478776401389
,0,0,0
u-60%,331.627793896498,1629.9878158774266,2678.7568912336715
,0,0,0
i-60%,262.9512488953776,2016.5437567024028,2872.7814101859703
,0,0,0
u-60%,347.0407653494127,1282.0220258440838,2804.5067068313456
,0,0,0
@-60%,528.4561817467476,1673.6133734837283,2954.564525191198
,0,0,0
u-60%,477.2944935433571,1041.9098342173047,2641.617102345216
,0,0,0
