phoneme,F1,F2,F3
,0,0,0
a-60%,780.372693789575,1470.3843202482908,2880.2491059968297
,0,0,0
a-60%,558.2236901782375,1529.6991998342223,3009.5999795539974
,0,0,0
i-60%,489.78098204062735,2122.551402104382,2942.874254331818
,0,0,0
u-60%,579.6045505796569,1156.365529156786,2782.283120391011
,0,0,0
a-60%,569.0537226612681,1324.4259928058311,2605.116173986668
,0,0,0
e-60%,469.86713770470635,2181.2977817280457,2980.4799523677534
,0,0,0
a-60%,838.2515318117125,1717.4101339576591,2192.727554973016
,0,0,0
i-60%,497.7025996911036,2526.269965999238,3188.665216919324
,0,0,0
e-60%,510.5430349280127,2524.875127262376,3058.6073737358765
,0,0,0
i-60%,415.0531309274478,2440.2580764722006,3319.7514401318094
,0,0,0
i-60%,347.2404384502428,2228.8063694882844,2810.3838224537835
,0,0,0
i-60%,503.3293754822236,2169.1998451470454,3172.2899852841515
,0,0,0
@-60%,419.3063608008363,1543.047838154776,2572.7930511451673
,0,0,0
a-60%,920.6417637126713,1540.2879650978675,2468.689143247886
,0,0,0
@-60%,623.0856693243819,2070.3786461627906,2423.3847519233686
,0,0,0
@-60%,446.6579276644837,2109.822696693685,2553.5804830479283
,0,0,0
i-60%,383.05673443907216,2042.187473548596,2498.654741359681
,0,0,0
u-60%,425.65498247465615,1766.14707084303,3521.297606663071
,0,0,0
@-60%,710.1762754809384,1844.8449399927456,2410.7163178771048
,0,0,0
i-60%,418.8518652654002,2118.8694275580765,3009.9697211313637
,0,0,0
a-60%,732.7002101417246,1590.3101359969803,2727.015430775719
,0,0,0
u-60%,409.9593056790375,1275.7578871467406,2808.38069916286
,0,0,0
u-60%,465.4137275535441,1208.4618076057382,3312.1685573696636
,0,0,0
a-60%,900.3680021064963,1530.0827520946218,2563.9991026519324
,0,0,0
a-60%,951.9871818920493,1617.3551348776455,2644.990462375152
,0,0,0
@-60%,601.0221991592548,2165.9198469715643,2725.939747701246
,0,0,0
i-60%,612.6217701403498,2314.083341172165,3007.1935281206675
,0,0,0
i-60%,399.38956379574137,2021.8451446898453,2887.325127152414
,0,0,0
a-60%,882.3503382254435,1926.7110422342655,2920.2701834851096
,0,0,0
o-60%,715.0646027206523,1304.7360703271186,2845.7010516828063
,0,0,0
a-60%,846.5523490697362,1336.9754186539194,3074.5100224651146
,0,0,0
i-60%,704.535239911188,2075.867107107373,2771.036513723579
,0,0,0
@-60%,500.9759085637612,1978.3470260081176,2972.694782665204
,0,0,0
i-60%,442.6744300773415,2135.9009123386872,2943.789107033457
,0,0,0
i-60%,631.8374611008675,2042.0049687677138,2714.8330841384327
,0,0,0
a-60%,951.6309626292934,1572.7185995747616,2730.418067063048
,0,0,0
o-60%,649.6606934678821,1591.649999701083,3382.9113889583145
,0,0,0
i-60%,655.0719830784324,1850.4990448114931,3358.206394332445
,0,0,0
a-60%,668.3528504723238,1892.1714922033746,2908.485121735311
,0,0,0
u-60%,529.180235314917,1275.1147082027758,2730.0604963197934
,0,0,0
@-60%,457.6898392771372,1433.6339676813134,2402.0527980680563
,0,0,0
a-60%,893.4805212769825,1754.6376447098235,2853.6698338282417
,0,0,0
o-60%,583.6654264698379,1119.6030759432608,2539.790712802517
,0,0,0
i-60%,588.0415893969578,2165.4554478487084,2548.4033183363194
,0,0,0
a-60%,605.7737086784591,1913.8494355694954,2415.5024075088877
,0,0,0
o-60%,570.325891497682,1375.9028439029616,2443.9685015343152
,0,0,0
i-60%,494.79401187285725,2021.8704510375212,2570.9495577131433
,0,0,0
u-60%,410.7483292622768,1387.6864890353775,2448.2917945877207
,0,0,0
u-60%,447.2392734284496,928.6900088814109,2478.9861926424096
,0,0,0
a-60%,842.6446374894981,1534.3933073257417,2477.242078374105
,0,0,0
i-60%,371.2871725975948,1999.1465286439138,2906.499075612968
,0,0,0
@-60%,487.4697093249044,2218.1147161511426,2903.10705645666
,0,0,0
i-60%,468.08990025188336,2026.8290943153613,2924.021705653531
,0,0,0
a-60%,821.5540084636565,1655.8513356346232,2674.5303991798705
,0,0,0
u-60%,619.7109274000615,1634.8448660839883,2606.1433551332484
,0,0,0
a-60%,652.1305874069687,1550.5659053682402,3194.7999419948133
,0,0,0
e-60%,589.8826979431218,2189.932003203689,2416.5259016461114
,0,0,0
a-60%,820.0558454783121,1732.3106022073612,2630.4212656968057
,0,0,0
o-60%,439.94187836213376,837.3966247739105,2762.1691544431014
,0,0,0
i-60%,380.881037285873,2209.2807164648298,3338.6113954135353
,0,0,0
i-60%,380.0332175815028,2217.4310863250307,3400.9875720606515
,0,0,0
i-60%,514.8691172324707,1992.0569681466268,2910.8663327813338
,0,0,0
a-60%,984.8578802291163,1749.4285402764237,2877.7460338660653
,0,0,0
i-60%,574.9624334834953,2171.3009725365896,2453.0365093746855
,0,0,0
a-60%,642.7138392577962,2208.109212669647,2789.335806949174
,0,0,0
@-60%,566.5771811155294,2121.839563100845,2822.758618177944
,0,0,0
e-60%,535.4991777432919,2140.9886697104635,2863.143400575764
,0,0,0
a-60%,782.8319786637611,1828.1880517403279,3036.190347450293
,0,0,0
e-60%,555.5965110532237,1801.7905712971556,2893.4766834907205
,0,0,0
a-60%,696.3419713273142,1499.7694846610432,2851.6115334654596
,0,0,0
o-60%,709.0738582875623,1629.8057085387295,2939.106864606695
,0,0,0
i-60%,736.7475019905068,1743.4732253153456,2647.536010334606
,0,0,0
a-60%,711.8056981387628,2062.520780265978,2770.308397109503
,0,0,0
i-60%,427.96234234192565,2276.103625380298,2938.1110269542346
,0,0,0
i-60%,558.4510055142922,2368.5095055081774,2608.942470983958
,0,0,0
@-60%,592.7553477217464,2121.944111811044,2828.6011114102707
,0,0,0
a-60%,925.9950180104935,1655.1104284163036,2519.448546603873
,0,0,0
i-60%,527.0538022394856,2268.871457734194,2842.3306050826436
,0,0,0
u-60%,496.58341282064924,1050.9079007097655,2521.216481061801
,0,0,0
e-60%,614.3685983770788,2011.5369369889943,3203.1800292402445
,0,0,0
a-60%,1028.1143482330465,1575.8912361956427,2561.991469591163
,0,0,0
u-60%,774.2651536479159,1267.497920305367,2255.384913229645
,0,0,0
i-60%,395.78725160424324,1232.627958944911,3152.1051667202255
,0,0,0
i-60%,558.188757268235,2146.1828836563022,3009.730366979716
,0,0,0
a-60%,632.1331508684872,1753.520634272101,3202.5250933338116
,0,0,0
a-60%,670.0904807397787,1625.826523351025,3248.402033666961
,0,0,0
a-60%,791.163967991852,1536.7811640668592,2665.0020191133344
,0,0,0
a-60%,633.5054322957977,1402.2700566243911,2640.724062657288
,0,0,0
o-60%,551.7230001184254,1190.7634731030992,2385.015917576181
,0,0,0
a-60%,836.2603824937703,1575.5486846118854,2821.47720796048
,0,0,0
u-60%,534.2783882122095,996.8272503140387,2318.034057246762
,0,0,0
@-60%,598.1977940041286,1315.28637325919,2723.453971113267
,0,0,0
u-60%,508.015956655623,1666.1732931621914,3052.882930779555
,0,0,0
@-60%,590.0326048567491,1344.9111736737264,2201.831898139275
,0,0,0
a-60%,601.5687195516322,1225.1614358715378,2069.290443725084
,0,0,0
o-60%,455.23836950876904,858.376265642732,2417.679616314711
,0,0,0
u-60%,398.19475555956296,790.934675710668,2854.581458659302
,0,0,0
@-60%,664.0920964983561,1641.0073788800948,2288.343481424187
,0,0,0
a-60%,607.6328699569975,1460.0600315116878,2365.623390392958
,0,0,0
o-60%,411.9141491256225,896.5882071465848,2582.2632736815813
,0,0,0
u-60%,496.1692451178621,1546.093067903947,2972.085210963235
,0,0,0
@-60%,392.3125958265463,1262.1381875022423,2487.220762057004
,0,0,0
@-60%,514.3694939212891,1252.468059844888,3041.776006756768
,0,0,0
a-60%,784.5730174661424,1422.7057272466525,2484.1105888423513
,0,0,0
e-60%,453.66878470100386,2110.563712786765,2902.6587741828407
,0,0,0
a-60%,798.4293734952325,1634.3001800799868,2970.8276773723023
,0,0,0
@-60%,940.8087003018078,1882.730343534981,2839.0440880954457
,0,0,0
i-60%,571.3827221935329,2051.396717614008,2512.3174755602035
,0,0,0
a-60%,682.5538748578931,1496.2497794775504,2415.474043758435
,0,0,0
i-60%,535.738083757855,1364.718965381736,2353.002607743396
,0,0,0
a-60%,849.7174686511771,1640.1112167779463,2677.0852093686453
,0,0,0
u-60%,479.36942476793547,1132.8362774311347,2832.547208953382
,0,0,0
a-60%,630.4298039091719,1622.494331862482,2541.2174733621946
,0,0,0
e-60%,452.68411037646405,2207.6385633235254,2364.8639109136016
,0,0,0
i-60%,414.6204710905822,2153.4500361635073,2910.760239873396
,0,0,0
i-60%,387.5202353992673,2244.9676395584056,2635.364721832617
,0,0,0
e-60%,441.11505255759516,2406.5746771241647,3211.1177048153836
,0,0,0
@-60%,404.82561718180466,2144.545248753612,3530.151001882602
,0,0,0
i-60%,466.3247417059218,1946.3596274111756,2290.4991719098703
,0,0,0
a-60%,444.8763144973035,1979.538241933575,2306.957033587623
,0,0,0
@-60%,529.7297077095403,1972.9659149404674,3325.826568283554
,0,0,0
i-60%,346.7791570635571,1925.7620715881017,2631.8809839863798
,0,0,0
u-60%,478.39851066067484,1571.4890395671348,2800.5794418590995
,0,0,0
u-60%,585.5674282204784,1350.5237054729425,3371.6611201290193
,0,0,0
a-60%,868.5159053776391,1594.8951029503576,3179.7693584013346
,0,0,0
@-60%,469.2274716841582,1763.2498744945133,2953.5340935013287
,0,0,0
i-60%,542.596533026552,1921.1560678602918,2451.1019572604578
,0,0,0
i-60%,392.6564398584185,2352.520480043801,3071.807994740477
,0,0,0
i-60%,326.2308463179416,2455.056045176415,3295.182694107816
,0,0,0
a-60%,842.1890630931157,1870.7530168046744,2549.0747072995523
,0,0,0
@-60%,602.1985436448196,1530.5745620663686,2473.5508902661645
,0,0,0
a-60%,749.9586797188135,1334.5933305167478,2686.883536988421
,0,0,0
i-60%,562.9853325602592,2276.665588265491,3057.235119755316
,0,0,0
u-60%,525.8189935786357,1406.618996312206,3058.845283784528
,0,0,0
a-60%,748.1703449792366,1372.8010023540405,3308.0069016043926
,0,0,0
e-60%,516.4393724552348,2484.372835891379,3213.649535566323
,0,0,0
a-60%,918.655190974362,1739.9475674207251,2963.408593029931
,0,0,0
u-60%,490.805765120348,1380.966982691994,2845.6057974861683
,0,0,0
i-60%,355.2527327569023,2249.019669556641,2747.3602766739136
,0,0,0
a-60%,1014.2323655696079,1835.2802831836234,2779.8244021512555
,0,0,0
e-60%,438.8755605189608,2051.5489708241544,2683.1551030112814
,0,0,0
e-60%,452.4311019800237,2086.056194556366,2815.662596884718
,0,0,0
e-60%,563.0160382421856,2074.5879345645158,2582.888966643681
,0,0,0
