phoneme,F1,F2,F3
,0,0,0
u-60%,458.40999388448,1777.25687997612,3082.375709289809
,0,0,0
e-60%,716.5924371395447,2195.1312610238188,3041.787532183302
,0,0,0
a-60%,624.7060359788987,1591.9981710893592,2882.8594555201025
,0,0,0
o-60%,473.6956995768026,1253.7072547624732,2621.750672681427
,0,0,0
i-60%,427.94328333157637,1446.6702956741308,2818.395529840843
,0,0,0
i-60%,421.1471895155228,2219.7731205541236,3071.5093416823465
,0,0,0
o-60%,434.8081258610932,1696.9386077062693,2960.675793761301
,0,0,0
i-60%,425.684154044804,2384.3826352584774,3157.244713550171
,0,0,0
a-60%,871.6193340897822,1710.4549609877783,2914.951139853326
,0,0,0
i-60%,583.313277677068,2231.8401527949463,3228.687387364597
,0,0,0
a-60%,584.2043819723151,2124.1964014426258,3189.306217617615
,0,0,0
@-60%,562.657563762246,2198.42096277933,3272.1064875917145
,0,0,0
@-60%,566.4908772232192,2312.2176678703017,3140.2046156829765
,0,0,0
u-60%,500.695505644437,1005.1189489663005,2633.468939680638
,0,0,0
a-60%,908.3245333543878,1668.004470710816,2826.6900513032233
,0,0,0
i-60%,781.716741923975,1813.5202879336048,2910.9258886420785
,0,0,0
u-60%,523.4541760007726,2021.6451433822278,2877.3385837953088
,0,0,0
e-60%,491.0167737669776,2687.756090095044,3216.9971212117684
,0,0,0
i-60%,604.1310817981066,2257.8475180115734,3192.064771231049
,0,0,0
a-60%,614.7872483722068,2207.767295864781,3106.1529738321383
,0,0,0
@-60%,515.684884832559,2003.3097562988792,3105.2339161325704
,0,0,0
a-60%,813.8453010201229,1786.9962352982545,3060.156576876514
,0,0,0
a-60%,720.8448797784703,1721.8032335846156,3149.383050624122
,0,0,0
o-60%,399.69939828199983,1424.183242930112,2880.8838657910937
,0,0,0
i-60%,423.451043848128,1876.0893461497174,2566.230976581912
,0,0,0
u-60%,434.937469745781,2076.244041008521,3381.0295007381837
,0,0,0
u-60%,387.5056484528066,1410.2316800456272,3424.765611550635
,0,0,0
e-60%,601.9694690950772,2332.0614876698783,3020.8895288453673
,0,0,0
a-60%,594.0404659389501,1905.2746939852652,2932.493296038688
,0,0,0
o-60%,399.94852995927175,745.8589790326225,2794.2333108598673
,0,0,0
i-60%,430.126644089129,2462.6563507931296,2941.361120440547
,0,0,0
i-60%,448.565200518794,2129.7288615675443,3140.5266070345506
,0,0,0
a-60%,784.3039714196864,1726.6039330668636,3105.055443136109
,0,0,0
u-60%,456.66235333293304,1734.5105620101695,3062.603955431355
,0,0,0
u-60%,408.0027054561625,1488.5054313718574,3096.993617880159
,0,0,0
u-60%,400.6130118539129,1521.4660151227592,3088.434352838789
,0,0,0
e-60%,504.46828129522925,2362.4559644886795,3218.145211736258
,0,0,0
u-60%,543.7593480304853,2472.5180211232864,3700.3835162923515
,0,0,0
i-60%,437.49674678141406,2401.9019619922597,3145.34216720163
,0,0,0
o-60%,444.01390716888744,1151.9005289027077,2635.1449114037277
,0,0,0
u-60%,430.45086221733135,781.8500479904284,2812.6062853200137
,0,0,0
i-60%,467.92543707176156,2415.6478160938905,3152.9715798706243
,0,0,0
e-60%,481.2069312779756,2399.3436775404452,3074.8442670651307
,0,0,0
e-60%,493.2495165484377,2387.041411218616,3018.0220698745425
,0,0,0
a-60%,773.6190055111958,1881.341462941491,3048.980744454304
,0,0,0
e-60%,408.94873528049357,2295.085022406317,3050.3252778625015
,0,0,0
i-60%,421.07419973834055,2703.5954961811494,3531.901567039155
,0,0,0
e-60%,408.2271475800749,2202.7799743370847,2988.3464624890194
,0,0,0
@-60%,596.8050523993641,2430.5773082833416,3109.960463859874
,0,0,0
@-60%,512.835858667546,2149.268087465975,3201.6655384293954
,0,0,0
e-60%,499.4085662678963,2223.07146840519,3212.9016761888365
,0,0,0
a-60%,850.5597243654581,1764.1830440242845,2799.108877686518
,0,0,0
i-60%,573.9931182573904,1749.1542894300676,3168.685226370407
,0,0,0
u-60%,420.2497590977806,1192.6993784410815,2831.8468453551554
,0,0,0
a-60%,789.6424040718846,1559.9527068863167,3129.494015695757
,0,0,0
@-60%,695.8218128488232,1529.0275919084424,3438.832864557434
,0,0,0
@-60%,551.1515384310569,1837.5011023388731,3331.0554146165023
,0,0,0
@-60%,630.6127301633874,1747.8154616235438,2442.9505341013173
,0,0,0
a-60%,893.1635388091654,1689.5404518871626,2553.396408886824
,0,0,0
e-60%,509.2161920559624,2140.9935733745565,3064.5179131561226
,0,0,0
i-60%,512.3950911346744,2280.5993695934603,3253.5114026318433
,0,0,0
a-60%,748.3629882005629,1764.6068409605,3485.7091842452073
,0,0,0
i-60%,488.24572480845774,2132.117038467972,3159.1343437286996
,0,0,0
@-60%,555.7429099933561,2343.4233109120883,3141.769765993915
,0,0,0
e-60%,480.1933118764127,2287.6820263386035,3131.1211846690844
,0,0,0
i-60%,646.0919405864449,2365.678080713597,3286.1664552408333
,0,0,0
a-60%,847.170496259456,1827.7117002772632,2252.553517505635
,0,0,0
i-60%,493.2756148965485,1632.8173618698222,2447.4595055817904
,0,0,0
@-60%,444.2107193255499,2199.5766267825834,2876.031934257332
,0,0,0
i-60%,654.152763856133,1709.441593839274,2550.9263737358915
,0,0,0
a-60%,798.5111684402282,1436.4843023677963,2222.8352009673767
,0,0,0
u-60%,509.72545868954836,1301.7783241731843,2610.014437998555
,0,0,0
u-60%,396.93660824097725,809.9612529954363,2539.283712697126
,0,0,0
e-60%,409.75327295825673,2078.611148843836,2802.3033178919572
,0,0,0
a-60%,673.5175826197107,1640.0724541193254,2506.684461881244
,0,0,0
u-60%,536.9206409949717,1612.295780428252,3322.0449474371817
,0,0,0
@-60%,462.7984648993964,1424.486413617247,2893.738063922529
,0,0,0
a-60%,718.9407041465463,1857.466953231004,2986.3862550541644
,0,0,0
o-60%,459.49421867441737,1401.4565988721658,2771.956034936365
,0,0,0
o-60%,443.7648198182463,1048.3898039928156,2881.583384987273
,0,0,0
a-60%,618.6939020552493,1982.791202766871,3476.2373701211773
,0,0,0
@-60%,530.1364052324028,1784.5329987625728,3342.0930765938556
,0,0,0
o-60%,645.1417776885836,1203.5198140465761,3354.646077201629
,0,0,0
u-60%,485.44030143314023,1591.8946819815458,3193.1213805687175
,0,0,0
a-60%,713.9365216056076,1862.6063352973397,3340.050071892256
,0,0,0
u-60%,657.4811067835128,1953.0221009178679,3298.4313907031305
,0,0,0
i-60%,545.1105298441311,1930.3590455152137,3123.94135224094
,0,0,0
a-60%,818.4073399525307,1675.5207260918237,3317.4710828481084
,0,0,0
i-60%,488.9731448910371,2099.982190775374,3176.5802176117068
,0,0,0
o-60%,577.5858920102712,1000.9435659766567,3309.681114450413
,0,0,0
e-60%,469.4942176909196,2263.956928880362,3021.274608907486
,0,0,0
o-60%,646.6015759057901,1181.2194876231736,3232.448661470926
,0,0,0
e-60%,629.214253321535,2056.695142117394,3170.9355827945797
,0,0,0
a-60%,574.7442527833939,1619.2778181434855,2550.32037663899
,0,0,0
o-60%,527.0931669353772,1306.5423532462146,3277.039287709999
,0,0,0
a-60%,718.0323599505595,2016.5969071763996,3271.984094968928
,0,0,0
e-60%,468.8573193164154,1905.8652015032394,3253.0577871017913
,0,0,0
o-60%,593.863002675365,1015.9706483500294,3208.300740868087
,0,0,0
e-60%,491.8798525202679,2249.7743632367265,2894.737624408664
,0,0,0
@-60%,486.65348690492397,2512.9963340296945,3046.4546935506055
,0,0,0
e-60%,516.1974004572994,2260.779393706565,3150.4185987225383
,0,0,0
i-60%,449.8522394059215,2043.831091837932,3251.5873078587783
,0,0,0
a-60%,804.6659116019041,1586.1910941333024,2853.327687951223
,0,0,0
e-60%,659.9855372146653,1789.3238209698973,3046.5301384034597
,0,0,0
a-60%,669.865439144047,1761.726225497576,3150.9155551630424
,0,0,0
a-60%,708.0153231986254,1647.2707208053616,3292.415440078553
,0,0,0
u-60%,638.7713787626784,1525.8481936579126,3395.8523839241752
,0,0,0
a-60%,752.1913308290524,1570.0974440233551,3156.9450186364074
,0,0,0
i-60%,425.4578035440144,1995.6489532262299,2874.6558946481573
,0,0,0
u-60%,474.0695498753508,1804.6049404240357,3100.668406841201
,0,0,0
a-60%,844.1037342810556,1658.8424126954208,2504.4391511900135
,0,0,0
@-60%,403.48982462937676,2339.6179363151236,2862.381499420931
,0,0,0
o-60%,468.1250405985311,1145.14984539754,2767.2088245167633
,0,0,0
u-60%,463.94945569274864,947.6112009676253,2796.182667606508
,0,0,0
@-60%,448.3753563683824,1868.4418392009434,2972.167026691517
,0,0,0
e-60%,473.50593857007124,2158.1672442524346,2897.201952237302
,0,0,0
o-60%,422.45955511119064,953.9359235107377,2652.2865481176023
,0,0,0
o-60%,531.5014923398134,992.9457004137316,3074.239868466739
,0,0,0
u-60%,308.35255410137046,837.6988287676912,2965.497565866484
,0,0,0
u-60%,490.29382324342373,1713.5233308917386,2566.4526427986166
,0,0,0
a-60%,624.8830819254454,1445.148178450113,2058.09455580157
,0,0,0
i-60%,583.1346551624507,1481.9176548416713,2985.5535288934693
,0,0,0
a-60%,660.6652111217767,1688.7288347215895,3080.2528050434526
,0,0,0
@-60%,632.7912090801264,1908.5177222309615,3357.69279407534
,0,0,0
i-60%,334.54025701510346,2358.5348120328463,3108.9192823045328
,0,0,0
i-60%,389.64593075587993,2495.456898732745,2857.733774816796
,0,0,0
o-60%,533.8469069521614,964.3524299444465,3150.917598641472
,0,0,0
e-60%,668.7710568223372,2128.5894453336405,3271.6500593548276
,0,0,0
