phoneme,F1,F2,F3
,0,0,0
@-60%,519.7543344722132,2374.6698094075923,3260.8067599327255
,0,0,0
e-60%,564.7170112288221,1917.0921201623396,3330.8868702387044
,0,0,0
a-60%,636.581618604562,1434.8833392947472,3144.6156208622115
,0,0,0
u-60%,377.97597360993404,1551.7314153359816,3170.142763637165
,0,0,0
u-60%,472.996357354162,1975.8658340278457,3506.470170134319
,0,0,0
i-60%,350.801757326446,2335.7285589152452,2913.5229757860166
,0,0,0
o-60%,399.8222021840713,1263.8792927158536,2955.434604889891
,0,0,0
i-60%,485.3834910167766,2351.9720641009753,2959.730076055602
,0,0,0
i-60%,479.3831142023088,2146.460895727752,2880.6455381781097
,0,0,0
a-60%,775.6897536278405,1466.2410356929597,2864.5901015963877
,0,0,0
i-60%,522.8103707119082,2440.484944347134,3260.4755116909632
,0,0,0
a-60%,825.8462285399702,1991.352954105478,2912.8635867478033
,0,0,0
@-60%,455.7633255741501,1964.1842982657379,3154.693566350322
,0,0,0
i-60%,473.3000621075279,2689.6706508742363,3319.6896141797492
,0,0,0
i-60%,433.8648750780197,2266.7752167425137,3087.9882302473566
,0,0,0
i-60%,337.0195905797506,2613.870349714672,3646.4421864770607
,0,0,0
i-60%,279.9475856316038,2320.732283632154,3271.925838090258
,0,0,0
i-60%,366.08680641930886,2747.4681321371795,3594.729615744378
,0,0,0
i-60%,546.0418218544265,2019.9377090237429,3032.597144713206
,0,0,0
a-60%,681.5820803648451,1938.9015352926651,3355.159227848274
,0,0,0
i-60%,361.8429595956525,2035.5715491941098,2854.0877278716225
,0,0,0
i-60%,457.138688468143,2510.0198565882024,3294.3336495648023
,0,0,0
u-60%,416.288132550652,1492.743119860348,2995.298702774165
,0,0,0
e-60%,518.4224551149949,2237.6103640519364,3097.7780433207954
,0,0,0
e-60%,605.9314787449791,1420.6687911632007,2925.34428631033
,0,0,0
u-60%,367.10658430386144,1136.4998749351746,2897.689563480573
,0,0,0
a-60%,942.0764965000162,1578.725913373476,2698.798600988084
,0,0,0
u-60%,439.84966909814136,2181.1670652219127,2853.1083454792793
,0,0,0
@-60%,498.1338012613843,1575.3193359632753,2984.2070486696343
,0,0,0
@-60%,587.721162962376,2280.969468672004,3106.3473011802257
,0,0,0
i-60%,502.45928126716655,2637.736223473951,3096.608947363696
,0,0,0
i-60%,364.3154221779543,2243.6918446781315,3212.7727907865637
,0,0,0
u-60%,374.72272960268634,1907.4196802004326,3122.9682501490543
,0,0,0
i-60%,437.53216795347186,2246.3966774487285,2969.4153257881226
,0,0,0
a-60%,408.2552710254364,2043.3363793475676,2998.4352598743017
,0,0,0
o-60%,401.9033853382019,1080.346614562701,3141.946612336353
,0,0,0
i-60%,402.5496253404191,2593.0991287900506,3072.2954235815587
,0,0,0
u-60%,424.4091281789732,1570.8285068280518,2988.4518229486966
,0,0,0
i-60%,330.8643155194771,1167.96473161427,2804.6238461101857
,0,0,0
u-60%,483.8405420270571,1447.1189223446245,2938.1103933246654
,0,0,0
i-60%,548.995486861578,2341.425521465231,2985.0674144804507
,0,0,0
a-60%,539.9734209509702,1487.81168635941,3052.8722665670025
,0,0,0
u-60%,568.0924905009874,1388.0935515259732,3077.7804403305577
,0,0,0
i-60%,412.0784041793764,2354.437480310354,3003.8647317750656
,0,0,0
e-60%,473.26475664770356,1707.0283203564395,3023.154172891598
,0,0,0
a-60%,913.4441657610953,1643.8078722580785,2755.376265423863
,0,0,0
i-60%,528.4998384851467,1690.025887059402,2708.589582296507
,0,0,0
u-60%,456.19631990863024,1293.5646791182282,2835.934964456057
,0,0,0
@-60%,440.7756334876258,2069.4760238284257,2887.924090945249
,0,0,0
e-60%,433.6631694110772,2266.944990665782,2894.9784128541664
,0,0,0
i-60%,487.14730589624577,2617.368267935135,3226.404984492575
,0,0,0
e-60%,412.8201769878937,1936.7129545207638,3186.9200135935534
,0,0,0
i-60%,377.1977468448422,2527.4955110070487,3268.760067465436
,0,0,0
i-60%,410.5845081761323,2619.3032964442214,3161.463800511673
,0,0,0
i-60%,405.65713429700764,2397.236116348734,3069.663704434826
,0,0,0
u-60%,389.34082453824647,899.430945246165,3207.4722302028667
,0,0,0
e-60%,631.2870125569607,2151.7653896789284,2602.624230591128
,0,0,0
e-60%,595.5969351563041,2117.8666575845973,3147.199369720791
,0,0,0
e-60%,569.8297827434163,1975.1296895960973,3225.474405692536
,0,0,0
a-60%,660.7343142123551,1933.870494899327,3158.720066118398
,0,0,0
e-60%,576.4684386318148,1723.13655385414,3098.8727236968507
,0,0,0
a-60%,648.7890524254775,1449.693100964133,3089.420159786589
,0,0,0
u-60%,600.1040296631649,1201.1588640488728,3307.044128154355
,0,0,0
u-60%,445.3304103611097,1702.7200842660104,3213.569650896094
,0,0,0
u-60%,601.630941446012,1756.1926099241266,2679.7224306522
,0,0,0
o-60%,542.3297178009879,1072.8139224364988,3135.8067173428017
,0,0,0
@-60%,647.7080016474315,2003.3354560123164,3087.526696479835
,0,0,0
a-60%,538.7395413193959,1761.5017947591618,3024.4331352432487
,0,0,0
u-60%,452.4651981172954,1469.679218915557,3174.467195068753
,0,0,0
@-60%,511.6152659389013,1363.9450508879136,2971.395699417642
,0,0,0
u-60%,422.360389829926,1556.7070454249128,3165.714584145686
,0,0,0
e-60%,532.5021699351102,2375.235846372351,2825.976090811759
,0,0,0
i-60%,544.9098298383618,1632.1658245164303,2865.3662896033015
,0,0,0
u-60%,393.5094123234518,1099.8195742125015,2949.9119697192837
,0,0,0
o-60%,587.4201241801784,1197.3387383392167,3206.6578765995664
,0,0,0
@-60%,673.352954338051,1869.3549317694335,3010.7077960027596
,0,0,0
a-60%,547.4694721313938,1806.4638854279115,3136.4291463476625
,0,0,0
u-60%,379.2827345236119,1461.5788941628234,3293.5046988459767
,0,0,0
@-60%,547.5651498087308,1991.4204670614156,3032.66680859839
,0,0,0
a-60%,728.2722371579642,1631.4788224349932,2924.642589237176
,0,0,0
i-60%,594.063388105056,2157.556825790708,2929.8428273754685
,0,0,0
a-60%,714.2809445408558,1681.0868562145772,2950.17584900172
,0,0,0
u-60%,471.414850615342,1466.5235818971835,3034.484027834861
,0,0,0
a-60%,764.7358166656109,1331.8888961904452,3147.1949742685074
,0,0,0
@-60%,443.18505426146163,1437.7625466075206,2716.0700529207616
,0,0,0
u-60%,351.0250372644706,1436.55674376299,2851.5886186682983
,0,0,0
u-60%,375.67600091620835,1477.230667991509,3276.5416690403745
,0,0,0
i-60%,370.5325302576451,2025.5251493489384,3032.720269138387
,0,0,0
i-60%,691.8647828798584,2185.4264347184603,3213.5501514302205
,0,0,0
u-60%,387.9843813366484,1846.6878838515515,3089.0060171273553
,0,0,0
@-60%,588.834608263226,1818.0516577238948,3129.215475674508
,0,0,0
a-60%,623.6806554232151,1703.7223120506756,3269.768565287081
,0,0,0
@-60%,602.4941904400884,1785.4418598429013,3017.100804044715
,0,0,0
u-60%,578.3497813934146,1689.5061441517619,3001.70683284113
,0,0,0
e-60%,551.2543917374328,1722.6919949615165,2854.9243454935176
,0,0,0
a-60%,1049.3568078966296,1642.828832070985,2780.800596356331
,0,0,0
e-60%,650.5415697380117,1893.9566408293583,3132.2261809708907
,0,0,0
u-60%,396.46498327088625,1252.5651037446034,2820.6152108917504
,0,0,0
@-60%,567.7673816815722,2550.932951333021,3188.1101029859265
,0,0,0
e-60%,472.3323704604626,2529.193691546205,3275.783365019823
,0,0,0
@-60%,404.52419259478404,1487.7481178689163,2912.3090391059322
,0,0,0
u-60%,633.8830905020517,1328.8718837428446,2909.0257691944234
,0,0,0
a-60%,762.4102550543726,1305.982565198991,3230.931413437746
,0,0,0
@-60%,469.10205029079935,2234.3277312042474,3303.9194797622927
,0,0,0
a-60%,1080.9087745645577,1692.674230018324,3173.5590702563045
,0,0,0
u-60%,787.6173739224637,1461.4455470532719,3086.950036227906
,0,0,0
u-60%,337.8528788709705,1526.6496189488678,3081.9334220479695
,0,0,0
u-60%,278.03719069897295,1494.8688329012427,2845.919182525728
,0,0,0
e-60%,457.8866861624932,2329.301022577253,2967.304155007904
,0,0,0
i-60%,387.4657834601861,1724.0654322021305,2838.2021389993247
,0,0,0
i-60%,266.4019279651292,2586.2254952371804,3147.373150753091
,0,0,0
i-60%,407.2015058471576,2430.655508519397,3119.807384460586
,0,0,0
i-60%,223.81310969914415,2017.463076040985,2834.639729928151
,0,0,0
u-60%,559.145000683001,1385.538407110255,3033.5912380338523
,0,0,0
u-60%,413.52096525513144,1272.181829806282,3096.833889073976
,0,0,0
