phoneme,F1,F2,F3
,0,0,0
a-60%,632.5272015663439,1381.0629747200942,3019.7868762959984
,0,0,0
u-60%,464.4680491856611,1647.894671011321,3180.3410257566966
,0,0,0
@-60%,427.14891150226697,1892.3621345139509,3235.9739381917307
,0,0,0
u-60%,392.129968461865,977.4753944603232,3053.0686828400294
,0,0,0
e-60%,607.3054645162015,2138.877352639423,3350.327927948317
,0,0,0
a-60%,707.1450337590319,1964.810718432993,3090.8569086634825
,0,0,0
@-60%,573.6068947679332,2017.7890992270504,3122.493976397088
,0,0,0
a-60%,825.893678008558,1820.1701381381126,2672.4573594701037
,0,0,0
@-60%,413.4231237042805,1261.1547259064503,2386.167230238282
,0,0,0
i-60%,409.9779508920342,2613.8582085694024,3239.735657958646
,0,0,0
e-60%,388.30509217407854,2705.598407675913,3317.198199373115
,0,0,0
i-60%,466.95411621406606,1863.823447017665,3161.358759357274
,0,0,0
a-60%,779.8691075186828,1777.159805063438,2615.133084033725
,0,0,0
u-60%,519.0410055226389,1708.2010398463387,2922.9339546756155
,0,0,0
u-60%,551.0674039296589,941.2305586958698,3137.1205448078576
,0,0,0
a-60%,832.7255912056651,1606.645837548933,2746.912339305352
,0,0,0
a-60%,765.5696675686706,1730.7263212108642,3105.8317196090707
,0,0,0
e-60%,717.5920427473226,2299.250647042918,3266.6358709011583
,0,0,0
a-60%,734.3992640274884,2112.6840663897005,3156.826398025096
,0,0,0
e-60%,568.9621610662749,2323.645704577575,3192.771055635663
,0,0,0
a-60%,737.6281074122231,1451.370167214446,2135.36304815404
,0,0,0
u-60%,503.16694584852445,2113.4400898354934,3497.262069533306
,0,0,0
e-60%,594.5410004890841,2376.1924462696325,3128.380844628135
,0,0,0
e-60%,499.44283466000974,2052.535012613405,2950.3255704326953
,0,0,0
u-60%,421.78581726732807,1042.4675762785967,2926.544786981244
,0,0,0
i-60%,438.7603636101403,2020.2322220967524,3024.920887737578
,0,0,0
u-60%,431.3369987985288,939.1107322237341,2837.7133324171295
,0,0,0
i-60%,434.1023048326962,2637.8369282383355,3518.596976421099
,0,0,0
e-60%,479.83866474090934,2468.1715504325452,3156.0034557365793
,0,0,0
i-60%,483.88126347542385,1666.5848540313198,2766.7173169692305
,0,0,0
a-60%,712.7914042675558,1678.060048831734,3388.969644847043
,0,0,0
a-60%,647.2408280711265,1906.6988687458238,3022.40018656857
,0,0,0
i-60%,353.2273455568958,2877.189682140328,3632.799686023435
,0,0,0
u-60%,448.76442496013146,923.9648560937081,3126.527340529933
,0,0,0
e-60%,415.7392314283247,1961.062816914555,2920.0221398828876
,0,0,0
a-60%,735.6696975998959,2017.477089811144,3281.8447695042955
,0,0,0
o-60%,390.97792261024284,1046.3808843901243,2778.0196484324115
,0,0,0
i-60%,300.12492274608377,2416.0689511817127,3232.938429257739
,0,0,0
u-60%,400.02282279087626,2508.119738828252,2957.8203992125314
,0,0,0
e-60%,472.5677922088365,2657.1455841505754,3191.533562589255
,0,0,0
i-60%,403.85327537026495,2122.626330355762,3148.2608839468007
,0,0,0
e-60%,467.4375034928636,2188.072881144056,3158.027637034906
,0,0,0
i-60%,473.11297780640314,1961.9828392605302,3726.579912629771
,0,0,0
@-60%,445.9430191205483,2350.412453917904,3119.28588895152
,0,0,0
e-60%,448.3890173324147,2630.070724136513,3221.9332641159185
,0,0,0
i-60%,469.5340235832558,1520.2904920376193,3011.306718585516
,0,0,0
i-60%,451.89703442359837,2704.347239526461,3198.578822422255
,0,0,0
i-60%,485.7211250474792,2319.5342365368597,3227.1181896933203
,0,0,0
a-60%,815.0647806022978,1727.3249430323767,2932.6569575845438
,0,0,0
o-60%,388.1993305730974,1619.3663907987616,3184.998770508111
,0,0,0
i-60%,392.1629516848741,1625.03419742348,3359.728840494419
,0,0,0
u-60%,292.4868639947031,1813.5269268911525,3357.822691618798
,0,0,0
u-60%,366.1416253144577,2153.4662383241885,3360.034034876927
,0,0,0
a-60%,825.8641740438222,1595.336227846926,3265.6545303000225
,0,0,0
a-60%,846.9036687565797,1667.4974388183418,3211.165086407662
,0,0,0
a-60%,823.9484088012274,1715.2671365322299,3018.5360731418937
,0,0,0
u-60%,492.7240954017227,982.9200327856421,2976.9651104690975
,0,0,0
u-60%,488.199254070744,967.4449766770914,2876.8881918742163
,0,0,0
