phoneme,F1,F2,F3
,0,0,0
u-60%,580.9362477508395,1137.4523920146537,2343.5927268370233
,0,0,0
a-60%,905.2767925782862,1574.5095103431927,3030.535894059566
,0,0,0
u-60%,570.5495468611873,1475.3199150711944,2881.6835848619116
,0,0,0
i-60%,428.4843952575144,1736.113376562715,2624.2497764141194
,0,0,0
i-60%,650.8007542051441,2190.060123239878,3309.0285471521197
,0,0,0
o-60%,566.4515187165246,1153.9187102684618,2546.076583292534
,0,0,0
u-60%,671.150378855818,1068.2438694082941,2390.4528015728088
,0,0,0
i-60%,498.83375334774496,2170.9983624823312,2902.0711484849817
,0,0,0
@-60%,537.1966950638262,1436.534451388868,2481.171937413691
,0,0,0
u-60%,689.304720037989,1265.242298431039,2728.3771555359936
,0,0,0
a-60%,670.0229986534131,1257.7402839358226,2725.14327478325
,0,0,0
o-60%,737.2290495826192,1050.9932978950412,2640.323205041152
,0,0,0
i-60%,689.9847413380758,1255.2712452870965,2644.9642573778847
,0,0,0
i-60%,598.4084084402977,1701.1772590497096,2423.765109033354
,0,0,0
i-60%,477.8414085944941,2097.714450622793,2405.0486966203844
,0,0,0
@-60%,476.404098227202,1694.958266785962,2517.5327358686823
,0,0,0
i-60%,722.8626708332979,1722.881917561689,2555.6331707760005
,0,0,0
a-60%,756.3313112967126,1715.1002725866772,2295.2225059684274
,0,0,0
e-60%,465.3215433773287,1890.9004763900448,2685.414834722517
,0,0,0
a-60%,812.6806505461079,1709.9177134018157,2375.6147657369106
,0,0,0
e-60%,620.1635458346182,1865.3194560861361,2436.049814276594
,0,0,0
a-60%,647.5543681585908,1343.7859299977727,2242.7412901075995
,0,0,0
o-60%,703.3776395312784,1231.9312300903355,2344.8491938823818
,0,0,0
a-60%,983.6261364102306,1312.9660961429388,3253.4195464808236
,0,0,0
i-60%,462.10124451662597,1472.525557223637,2298.1421554142626
,0,0,0
a-60%,808.4236632994035,1226.1512178021228,3046.803044794092
,0,0,0
u-60%,574.3385326630076,1493.7543803988667,2818.5963949331
,0,0,0
@-60%,702.373911691057,1116.8999419343422,2511.973504143424
,0,0,0
o-60%,613.0404396690834,959.6637574085245,2676.429864590554
,0,0,0
u-60%,639.477012477626,2096.395360466001,2833.3967742652403
,0,0,0
i-60%,440.9670011702915,2465.3862744886646,3232.1248352145926
,0,0,0
i-60%,491.0889209914953,2185.75496863312,2738.07866317369
,0,0,0
i-60%,310.40228035171384,2340.6434186468973,2641.853844065008
,0,0,0
o-60%,519.8099510765815,1335.9191434111942,2421.6468785239413
,0,0,0
i-60%,558.4344599151204,1270.3655935525608,2403.569491302482
,0,0,0
o-60%,521.4992630271314,1123.9141099019082,2784.7546176237615
,0,0,0
u-60%,477.57095433750317,1929.4678924322554,2560.154644166533
,0,0,0
i-60%,449.01407667142456,2313.931814477425,2927.870997265541
,0,0,0
i-60%,438.7471212493025,2135.440474385078,2847.889119118519
,0,0,0
