phoneme,F1,F2,F3
,0,0,0
e-60%,512.7467662567366,1575.717684037983,2601.978112381663
,0,0,0
a-60%,669.9696413228403,1028.6289170910377,2705.004938264791
,0,0,0
u-60%,567.7489305218436,760.0010620348737,2734.170953756131
,0,0,0
o-60%,621.2902236865356,957.9262482155932,2674.716727827119
,0,0,0
@-60%,583.0383101041227,1161.276802896493,2382.8789844291696
,0,0,0
a-60%,587.5832069694525,948.475970105006,2784.4549615426195
,0,0,0
a-60%,560.3097416394232,989.465407512538,2608.315114463704
,0,0,0
i-60%,376.71375480680763,2058.537978734639,2990.4591700540186
,0,0,0
a-60%,501.9942555115195,968.6951900897002,2494.7065280814736
,0,0,0
o-60%,605.8126889764029,2316.2710881392222,3161.39198914766
,0,0,0
e-60%,526.6888269788236,1604.558100267771,2521.1716370119025
,0,0,0
i-60%,480.4796219961202,2152.0993193875374,2843.4764198203943
,0,0,0
a-60%,671.1318764107001,924.724718181728,2689.7903851401447
,0,0,0
a-60%,492.33384449978945,1199.942817958252,2737.893232406648
,0,0,0
i-60%,454.72740514278195,1581.2835891018876,2782.0296195199635
,0,0,0
a-60%,607.219171605249,1694.3770951379397,2589.5373717517614
,0,0,0
@-60%,483.571410822244,1489.8151952870633,2392.8260482264077
,0,0,0
e-60%,489.54523676252745,2198.9041145625997,3032.7963220982515
,0,0,0
a-60%,666.7708843236439,1489.8168856341774,2168.4363579367446
,0,0,0
o-60%,588.3370281334722,778.768887091205,2508.5951169525392
,0,0,0
a-60%,536.6234540444575,1034.3123622272497,2292.621258978065
,0,0,0
u-60%,369.30140612167173,1369.8058198297379,2970.5199623239155
,0,0,0
@-60%,462.2831296716549,1789.6619943060546,2672.1920993795597
,0,0,0
a-60%,640.7008155001358,1142.0046394653677,2719.292366286149
,0,0,0
@-60%,497.75553262324297,937.7754225133093,2851.81640618901
,0,0,0
i-60%,405.95875546740376,922.2643846854231,2816.3613848587734
,0,0,0
a-60%,641.9399351035526,1327.2787644605564,2397.2749337733294
,0,0,0
@-60%,517.597745114597,984.6995216827064,2363.430636657308
,0,0,0
e-60%,485.19900572025654,994.7374293758819,2607.754224999906
,0,0,0
a-60%,628.7291664039967,1293.731928285855,2537.0033837541296
,0,0,0
i-60%,426.391183959799,2274.1167903220635,2930.3085287023528
,0,0,0
i-60%,523.3529577825525,2132.955972563404,2899.4435100573205
,0,0,0
@-60%,557.9636738093865,1569.3813219901185,2539.9054110415145
,0,0,0
i-60%,472.85871059695296,2128.648892067564,2801.3932640272606
,0,0,0
a-60%,601.8022937747916,902.4175835959092,2825.6813418465954
,0,0,0
a-60%,704.3492332243279,1062.270584669654,2854.62963416078
,0,0,0
@-60%,435.78465915817424,582.0081103920485,2463.6196092217956
,0,0,0
i-60%,342.1603575668754,1060.251413053419,2497.2826120791015
,0,0,0
@-60%,543.4605755700756,1767.0905645132868,2650.1570890327666
,0,0,0
i-60%,653.2944369325531,1406.1682141494462,2542.149597978477
,0,0,0
a-60%,590.6668985575103,1112.9357814545774,2605.0537309766974
,0,0,0
a-60%,716.0132042091749,1101.8701567127832,2663.0607523707013
,0,0,0
i-60%,403.78572289265446,1914.4807927228624,2715.7555908264953
,0,0,0
a-60%,632.5353050588841,1119.3124465145029,2442.169418557787
,0,0,0
e-60%,468.3584913353597,1453.6449293162548,2386.3229962700602
,0,0,0
i-60%,395.6889908762173,1680.7168246110386,2708.1084326414048
,0,0,0
e-60%,542.6369124088435,1205.153540580371,2532.488766206379
,0,0,0
a-60%,675.0351596662449,1251.9624623161674,2420.1595916648184
,0,0,0
o-60%,558.9155859471229,861.3028680875406,2500.4463480089635
,0,0,0
a-60%,536.6757011564463,1139.1461223821284,2335.8477458479733
,0,0,0
o-60%,494.6597459544371,831.6981609330439,2559.8596630411425
,0,0,0
a-60%,535.9394527053712,1372.5417701638214,2562.710145159229
,0,0,0
@-60%,426.29543313187554,1737.3329116392492,2764.829367051672
,0,0,0
i-60%,357.89747433036825,1596.6250637989303,2717.1156604636003
,0,0,0
e-60%,487.7854017030631,2021.6064885506903,2933.6186514657666
,0,0,0
a-60%,555.3812100871525,1380.5851432889792,2179.7873681814376
,0,0,0
@-60%,379.56841331141516,1194.4570716449452,2358.0164369589447
,0,0,0
a-60%,534.3705798640958,1601.1186481275531,2678.6254893323553
,0,0,0
@-60%,452.337251405235,1028.0558366446644,2367.6330138097633
,0,0,0
e-60%,443.1629388963034,1917.1980416402184,2674.229681320036
,0,0,0
a-60%,655.2805331289046,1373.2728008571305,2402.4333936560215
,0,0,0
e-60%,438.6329620854329,2398.5388965305924,2950.24703632425
,0,0,0
i-60%,366.6287120138054,1769.1063411234293,2921.983597466729
,0,0,0
a-60%,611.1641978518545,1365.9296689516648,2732.435443352434
,0,0,0
a-60%,535.5623756761929,1038.8006441687642,2584.7924128231202
,0,0,0
i-60%,424.6237450196775,1886.6718090642978,2966.2313150971404
,0,0,0
i-60%,485.53869857980015,1882.0003948390959,2734.0854672995324
,0,0,0
u-60%,577.7080484590699,2602.106223486799,3168.8476515208226
,0,0,0
a-60%,596.1662804070779,816.8195212879249,2499.293536645921
,0,0,0
u-60%,443.59457606114023,1026.6251139177195,2664.2189735635566
,0,0,0
a-60%,633.3156083474049,1077.5442815542112,2489.834016254073
,0,0,0
i-60%,551.7754815981788,1396.059847989544,2355.1156094383077
,0,0,0
o-60%,583.9035939757713,864.8028273106015,2257.9640346749625
,0,0,0
a-60%,588.3279612249678,988.1348501081329,2531.7843524235586
,0,0,0
a-60%,595.4308040147722,1040.7278428955283,2289.7379397238365
,0,0,0
u-60%,434.4707763147149,1251.2643376512701,2601.824568136258
,0,0,0
@-60%,339.0080006152272,1242.1058807712702,2695.0422965790244
,0,0,0
u-60%,429.7990716209946,881.5457447580515,2759.239348571897
,0,0,0
@-60%,523.2307523803697,1011.0490376788721,2662.378319867568
,0,0,0
i-60%,417.866115473365,2339.4876930282894,3026.4474282514834
,0,0,0
@-60%,561.922546954923,1819.026705712138,2354.4731194280166
,0,0,0
i-60%,497.58010148986693,1735.471060686969,2907.6793719661628
,0,0,0
@-60%,383.58966574203356,1658.1188232803102,2884.3851272286956
,0,0,0
i-60%,407.07188506925485,2110.6646085951866,2555.7755841711237
,0,0,0
o-60%,466.65484650720305,863.1309577647804,2630.6653908344088
,0,0,0
i-60%,400.4997725802293,947.4524076832836,2634.7774153245527
,0,0,0
o-60%,465.44213259741707,723.4716673583458,2583.289073255371
,0,0,0
a-60%,614.2201184137434,1096.8144064900796,2574.290929058519
,0,0,0
i-60%,339.60508767985607,2370.1463239301324,2963.2576987060093
,0,0,0
e-60%,451.70885703536413,2089.5562204921744,2980.654439432627
,0,0,0
a-60%,636.7613613185911,1906.0472777186285,3131.992295803992
,0,0,0
a-60%,580.8577956237159,1072.153886138026,2491.2641261242225
,0,0,0
a-60%,509.7346673568153,864.0433161556927,2747.243481369424
,0,0,0
i-60%,371.56316784807694,2421.134266069144,2933.4873666583244
,0,0,0
u-60%,392.9224932975547,780.2437990257438,2626.4641843474647
,0,0,0
o-60%,439.14379724158033,804.5473073817065,2645.901952820542
,0,0,0
u-60%,487.4145248564956,850.3236844731897,2504.9170696627884
,0,0,0
a-60%,436.805222225712,724.3938491639001,2470.684571285001
,0,0,0
u-60%,282.64129421414964,904.5665135711247,2548.4312695463545
,0,0,0
@-60%,601.4906993949807,2161.3374804842747,2829.1426541715123
,0,0,0
u-60%,400.5735726403265,787.8985268531543,2633.060144879588
