phoneme,F1,F2,F3
,0,0,0
i-60%,441.76467285199124,1883.5983318578647,2866.26381132135
,0,0,0
i-60%,428.8127000683249,1857.6615966453717,2624.3928367908775
,0,0,0
i-60%,365.09449259633664,2246.671439341029,2889.1087260026816
,0,0,0
u-60%,392.28975536665206,1249.0242410779565,2376.7521129447637
,0,0,0
o-60%,592.6440995333041,1081.475280780785,2297.076378998275
,0,0,0
@-60%,563.4851772576639,1614.9262409501935,2516.7423670576636
,0,0,0
o-60%,458.4830380111672,952.1703936443274,2392.637278088087
,0,0,0
i-60%,513.8557963021793,1800.382423054099,2313.4029617250067
,0,0,0
i-60%,319.64970148200126,2260.346371908892,3573.0793515658793
,0,0,0
i-60%,359.8654951943339,2299.760826112527,3172.7532246698497
,0,0,0
@-60%,513.4047959914512,1360.29971870522,2255.515859083158
,0,0,0
@-60%,653.6520054341239,1903.4399726016936,2660.3972412328953
,0,0,0
@-60%,532.4801822533709,1783.2423011806436,2623.285428662148
,0,0,0
@-60%,536.3771401902519,1552.6566768594855,2137.6468369208023
,0,0,0
i-60%,375.5272127185164,2131.8711816090376,2412.9972098383046
,0,0,0
i-60%,363.7804476178463,2267.2315240716052,3414.3494673187834
,0,0,0
i-60%,318.45562765931436,2223.863889583681,3465.9106295149463
,0,0,0
i-60%,321.3013156328998,2273.410898334195,3094.632851184806
,0,0,0
o-60%,537.2016237491279,1007.0449137219207,2555.5579407481137
,0,0,0
a-60%,560.9691194606189,1804.8364984879559,2674.6537607576156
,0,0,0
e-60%,575.5517089616151,1856.2554210522253,2456.469597197976
,0,0,0
a-60%,722.1971250399326,1575.1318103519275,2418.408707731658
,0,0,0
e-60%,486.2926133275007,1729.000539002757,2364.88130522704
,0,0,0
@-60%,420.9412724061846,1876.292317910047,3002.2958549141285
,0,0,0
e-60%,517.2539323965144,1792.8463067500843,2711.5987232431057
,0,0,0
@-60%,472.8313825327462,1534.0370885885284,2468.8095216230663
,0,0,0
@-60%,627.5899833248902,1870.9709096056797,2575.1224397030787
,0,0,0
o-60%,499.50444826725044,1234.6657538505863,2318.9002379652798
,0,0,0
a-60%,706.3153323284587,1487.034395890858,2887.4270520406444
,0,0,0
e-60%,546.9616425006172,2073.5725214365634,2624.890742287552
,0,0,0
a-60%,658.2689556777566,1759.7198148256887,2467.907530076062
,0,0,0
@-60%,532.703952959271,1833.1862408605327,2552.005132697761
,0,0,0
@-60%,308.67498207547254,1557.1098712212008,2697.359683858916
,0,0,0
e-60%,466.5383403365343,1940.607491207874,2605.768835959706
,0,0,0
@-60%,469.1696038161449,1698.731011640569,2111.9273416359288
,0,0,0
@-60%,686.8008609110525,1886.355379727822,2683.866982771345
,0,0,0
o-60%,550.8888849990033,1154.222495553307,2413.551228735837
,0,0,0
i-60%,525.8459741147875,1981.1121033503578,2214.690399118817
,0,0,0
a-60%,748.4797597149502,1412.3222523446032,2242.44558546051
,0,0,0
i-60%,342.8959385696814,2297.232584004205,3017.995078481577
,0,0,0
i-60%,462.90116470522696,2443.8199479726427,3254.0916204109844
,0,0,0
i-60%,450.7266559855814,2142.841590148877,2654.30476150372
,0,0,0
a-60%,680.6511966915479,1815.7593465671537,2468.5483432743017
,0,0,0
i-60%,460.95345877206256,1658.8401475540513,2105.520392704121
,0,0,0
u-60%,475.87116370639365,1066.4385209175373,2860.563460443334
,0,0,0
u-60%,484.85935208614154,1186.617987669367,2666.579060751896
,0,0,0
o-60%,582.2041684019026,1133.1447094930745,2503.034178521289
,0,0,0
i-60%,346.90698658205787,2123.5892150119216,2525.6507626925895
,0,0,0
i-60%,459.6401062279317,1903.1786042595977,2648.4789326695027
,0,0,0
o-60%,581.3795646863939,1300.1761046369656,2297.470071119203
,0,0,0
i-60%,619.1798137998535,1672.3359167745723,2281.557839592498
,0,0,0
a-60%,595.5830671359229,1710.0651485918493,2293.4011098075234
,0,0,0
u-60%,421.13710744660585,1596.253732468961,2142.1875615504073
,0,0,0
u-60%,722.5744994379896,1510.971536111434,2451.9868811083197
,0,0,0
a-60%,747.982015091077,1412.6126839586257,2738.36714197034
,0,0,0
o-60%,537.5471673937949,1085.3083049656257,2800.769020045955
,0,0,0
i-60%,576.1369847639542,1853.6641434077826,2391.8294855669756
,0,0,0
a-60%,592.6101111826418,1644.7116920217447,2248.433073126757
,0,0,0
u-60%,681.4900874121955,1549.3917611690417,2900.411520919553
,0,0,0
a-60%,659.9707564845463,1463.3242795883111,1969.6868543630817
,0,0,0
i-60%,426.3688390513917,1881.6240591320611,2272.7807532640404
,0,0,0
a-60%,730.1742714821012,1615.6679390727272,2736.078138357163
,0,0,0
o-60%,602.3522493700484,1429.7098857855005,2792.3442948998186
,0,0,0
i-60%,519.0923787690875,1749.7786074250987,2320.559122845457
,0,0,0
a-60%,557.7467488418066,1903.1548988904717,2533.7066657514088
,0,0,0
e-60%,561.3848768860626,1967.3823023164266,2485.0031679153603
,0,0,0
i-60%,408.1358913453165,2249.633058962235,2946.608036620942
,0,0,0
i-60%,421.81634974172465,2193.3594411693825,2518.308474993116
,0,0,0
u-60%,519.1828740322331,971.7764540419561,2723.611491956768
,0,0,0
a-60%,730.321981111979,1254.2369731271306,2821.4162764811867
,0,0,0
u-60%,532.6710999817652,1351.6444371963357,2256.452882358457
,0,0,0
@-60%,576.0406483522619,1397.8236930801245,2221.4406212356807
,0,0,0
a-60%,837.6870276620152,1371.9064511857246,2763.554552038972
,0,0,0
@-60%,512.7872121579001,1702.3161982973038,2377.02162943494
,0,0,0
@-60%,343.3985527212993,1883.911947620797,3140.0059848093633
,0,0,0
i-60%,493.5081558824843,2046.5709352208396,3148.533011290672
,0,0,0
a-60%,920.504460224841,1671.8368691600174,2713.831069460945
,0,0,0
i-60%,685.9140800781438,1961.33455872812,2385.0752421341886
,0,0,0
@-60%,529.9397410920568,2033.0316912935662,2312.9767306241865
,0,0,0
i-60%,329.7653820445884,2101.1261580439427,2645.326470642304
,0,0,0
e-60%,469.81439349104863,1995.1968495516246,2345.643967491538
,0,0,0
u-60%,426.8075836252774,1605.5583838854136,2071.3678487676543
,0,0,0
i-60%,390.1305395690642,1793.8709679203403,2102.0749911495336
,0,0,0
i-60%,385.8844264239795,2169.555298849554,3098.373060344488
,0,0,0
u-60%,561.3448894569689,1218.9936256986196,2117.199210051457
,0,0,0
a-60%,675.6229280730106,1728.3054298865623,2294.3670727598846
,0,0,0
i-60%,646.4287005064369,1975.9392869014862,2535.422138446872
,0,0,0
@-60%,529.7174028354979,1920.253094671881,2600.6981299003314
,0,0,0
i-60%,477.6997833953598,2052.643397698056,2657.9125901508587
,0,0,0
o-60%,582.5271930390398,815.1337478021006,2614.6173415580247
,0,0,0
i-60%,424.8709778920654,2200.980944819525,2785.071516694431
,0,0,0
i-60%,379.25381770813306,2131.4241156103185,3134.631731016107
,0,0,0
i-60%,380.1711670145959,1994.5307212933267,2877.456658959246
,0,0,0
u-60%,404.7762561076985,1255.7714403159907,2620.959846854127
,0,0,0
i-60%,373.2387639237507,2055.0016805952323,2509.443934212772
,0,0,0
i-60%,316.57505558139275,2168.344898834892,2645.6893730818674
,0,0,0
i-60%,310.88648567074785,2165.934856183933,3328.068366353266
,0,0,0
i-60%,367.46719911087183,2103.852959064994,3247.4549883875275
,0,0,0
@-60%,540.0863831856703,1918.190829547482,2818.8820410338158
,0,0,0
e-60%,566.8554359501231,2243.306824242796,2657.7122874718275
,0,0,0
a-60%,806.7453956329425,1603.9700965971804,2519.661448793579
,0,0,0
i-60%,436.2856871930794,1685.1996043715408,2903.1306569061
,0,0,0
@-60%,645.5785568010335,1917.3715486194594,2811.64332788234
,0,0,0
@-60%,320.92965302990353,1524.9577879918031,2960.8914211030774
,0,0,0
i-60%,359.41741049065166,2128.111246737415,2952.6895333820366
,0,0,0
u-60%,363.1796625037987,1640.3972688471538,2777.4075199266113
,0,0,0
a-60%,608.5670304801193,1524.5051231615723,2646.379887348434
,0,0,0
@-60%,343.389218210366,2045.2151931139067,2594.3412868571977
,0,0,0
i-60%,354.34200448867546,1700.0407884668416,2607.693884366148
,0,0,0
u-60%,327.97260183070136,1522.676576006375,2679.366690188376
,0,0,0
@-60%,393.8485546867928,2073.033875726505,2899.677864167709
,0,0,0
i-60%,352.15682789139856,2336.8832251581325,2986.583329901471
,0,0,0
@-60%,591.5276244194321,1885.7567872504342,2651.82133920005
,0,0,0
u-60%,484.42296399082096,1474.7160422508184,2943.8798254759336
,0,0,0
a-60%,783.7079763949505,1284.608092293389,2720.1372003475126
,0,0,0
u-60%,584.7460438199479,1717.4802191273752,2882.677247972199
,0,0,0
@-60%,481.49633828457354,1505.82652081277,2451.8874635526004
,0,0,0
a-60%,932.844568496412,1399.3020228626397,2484.2098273293614
,0,0,0
@-60%,633.1946206384472,1801.6659383367464,2337.047795418787
,0,0,0
u-60%,386.8066186087649,619.6075966769107,2564.493030736489
,0,0,0
o-60%,623.3006396366267,967.4392882745059,2360.8962619773424
,0,0,0
i-60%,577.5236053182114,1718.4060085384674,2263.271323351612
,0,0,0
a-60%,585.4953713172403,1798.912270420094,2531.244910220932
,0,0,0
u-60%,434.0055841506163,1155.096038884487,2873.0681472506753
,0,0,0
i-60%,461.04553646200316,1770.2703477253217,2146.9122432287804
,0,0,0
e-60%,339.6273532866838,2335.966381463383,2657.6394280908985
,0,0,0
i-60%,350.8251118083883,2225.180327387056,2868.051012872542
,0,0,0
u-60%,414.1510919545004,950.5466636533591,2599.366735512329
,0,0,0
i-60%,392.87846609676956,2178.811107443784,3571.710444531072
,0,0,0
a-60%,772.182832016097,1460.0493403019711,2372.039208155279
,0,0,0
@-60%,546.9506800267492,1765.0215462576887,2429.9989874871585
,0,0,0
u-60%,430.28535178414757,1332.9021995651467,2601.747919237656
,0,0,0
a-60%,719.4320753048153,1221.991145221401,2256.6630111263385
,0,0,0
i-60%,410.50642650129,1939.4877618006983,2664.5711348910704
,0,0,0
u-60%,513.2937208871729,1157.842093463155,2630.818492688304
,0,0,0
i-60%,383.92733992984137,2014.4450274878982,2512.457045827135
,0,0,0
i-60%,373.03151545751876,1905.3727734963707,3486.7545893447946
,0,0,0
@-60%,604.1879108800575,1821.1176478461996,2416.391417790511
,0,0,0
e-60%,576.5817368069468,1962.782263213814,2449.0424058262743
,0,0,0
i-60%,377.8535009148987,1798.2614208803811,2276.1785170495546
,0,0,0
i-60%,394.29310473728214,1575.2847880031206,2277.297703846217
,0,0,0
u-60%,450.50650277915867,1594.8371362373232,2339.1298437201845
,0,0,0
i-60%,415.6088138728523,2189.585910023546,2797.4361332287513
,0,0,0
i-60%,381.4321622678607,2145.849966342097,2740.600287958919
,0,0,0
u-60%,518.9635957556455,1425.052699172193,2230.953768515419
,0,0,0
