phoneme,F1,F2,F3
,0,0,0
u-60%,731.2238421129297,1860.677784695443,2999.675352254671
,0,0,0
u-60%,392.1740705720182,979.8234554147687,2611.0215152502788
,0,0,0
u-60%,353.8377763635575,1114.8757072629173,2592.622710002715
,0,0,0
@-60%,433.7372067113339,1237.6249934848572,2585.416655898263
,0,0,0
i-60%,342.0837157700291,1856.3706544393895,2401.1577771093966
,0,0,0
i-60%,308.1243017913115,2132.7372060192533,2565.9391327713633
,0,0,0
u-60%,402.0241883262448,1101.0386560907903,2598.2818187141256
,0,0,0
e-60%,647.5287466466411,1638.368331795937,2508.153046761183
,0,0,0
a-60%,641.60845867899,1473.3770531393614,2424.1881289032094
,0,0,0
a-60%,663.5744327110072,1274.1660948286142,2684.2196338749463
,0,0,0
e-60%,485.58602496457684,1908.7772522526611,2456.788941008297
,0,0,0
u-60%,530.7652080694372,1609.015632127984,2951.6592162190527
,0,0,0
u-60%,424.6683816277203,1311.8477359868261,2661.763229058738
,0,0,0
a-60%,489.729432066242,1553.4021609250347,2438.6574786599394
,0,0,0
@-60%,392.4614397184224,1420.194027748479,2368.6090227209866
,0,0,0
i-60%,556.3012965648449,1386.564858572061,2504.931944229772
,0,0,0
a-60%,590.5200617354797,1374.1085390697851,2487.70828662214
,0,0,0
i-60%,344.2524289226339,1813.8194441870085,2412.31201964802
,0,0,0
u-60%,1005.9156716400835,1737.6842073583512,2839.7778025015564
,0,0,0
e-60%,608.6579365378591,1534.9720119729977,2398.3036602073716
,0,0,0
a-60%,659.3198466859036,1327.9956632174208,2354.9279376914105
,0,0,0
u-60%,579.292408707932,1252.7345061018643,2541.443303010811
,0,0,0
o-60%,707.4512323039509,1073.0982637998097,2699.38325906968
,0,0,0
@-60%,573.8535416914384,1468.8215665438631,2569.183560704155
,0,0,0
u-60%,591.6597479224193,1153.522225636097,2886.852963560417
,0,0,0
a-60%,647.9966694520491,1252.7414845913815,2623.059143360828
,0,0,0
e-60%,490.0398765605816,1683.1102946379117,2527.7129825547686
,0,0,0
i-60%,334.85569423411994,2050.0013879569633,2528.7454511538713
,0,0,0
a-60%,602.7353080147124,1442.3448928299856,2452.964065090902
,0,0,0
i-60%,475.50567233114674,1650.0710120519943,2469.375071682871
,0,0,0
a-60%,563.0366779235487,1513.2816654085543,2494.7583710206122
,0,0,0
o-60%,394.73108835820346,1537.011792333623,2467.428757328139
,0,0,0
i-60%,379.99953074455635,1684.5114785628425,2330.3217555473534
,0,0,0
i-60%,342.97153158877734,2001.9017055655684,2398.5664375489973
,0,0,0
o-60%,663.8927567184421,1611.2822400012863,2722.56840612798
,0,0,0
u-60%,394.84917264654194,1863.2549400351058,2285.572528002615
,0,0,0
e-60%,430.41282687576097,1899.5794420694708,2498.1323165854733
,0,0,0
a-60%,634.0942692850496,1441.4528358690673,2652.1473550349388
,0,0,0
i-60%,396.5271244267515,2054.0957471218358,2735.3938841190798
,0,0,0
a-60%,465.26626096131247,1712.4895299214768,2572.8311490390943
,0,0,0
i-60%,524.0503742822267,1277.653354463008,2293.076699373484
,0,0,0
a-60%,594.9463365111099,1329.926700467846,2329.2494067393604
,0,0,0
o-60%,626.1317684497547,922.2977039749951,2468.7046053787544
,0,0,0
@-60%,680.8219563913245,1566.7762741090085,2531.902128616943
,0,0,0
i-60%,424.66267909377,1990.4950494310383,3082.637685022934
,0,0,0
a-60%,563.4832812888997,1448.9888480349166,2432.0074073202854
,0,0,0
@-60%,565.9111902200694,1390.82181085186,2622.8812795718477
,0,0,0
@-60%,387.13005876447494,1986.353031384408,2613.2655062549215
,0,0,0
i-60%,349.26347329638816,2411.394550430167,2950.8252295927323
,0,0,0
e-60%,444.80603633793135,1837.8836598922378,2529.625020138822
,0,0,0
@-60%,626.300493278162,1218.038153484591,2523.91260966043
,0,0,0
a-60%,682.1489891115788,1312.364202873088,2691.6325350615643
,0,0,0
u-60%,518.5247400838669,1267.861221572947,2734.274893716537
,0,0,0
a-60%,685.5849988709398,1259.5915028996692,2767.845543882395
,0,0,0
u-60%,691.666480093747,1614.7486904846307,2878.8790086979648
,0,0,0
u-60%,505.73779326586276,1312.5964486523924,2928.3500115150377
,0,0,0
a-60%,670.796082433412,1426.9687930835182,2520.1082531724996
,0,0,0
o-60%,625.4220360444879,1092.724649249841,2525.93468336036
,0,0,0
i-60%,776.1863167235046,2003.1816193842524,2900.4334753314947
,0,0,0
u-60%,486.0166492641496,1664.5966621808461,2901.475824391503
,0,0,0
@-60%,696.7637137639547,1748.5601171421645,2900.07801475364
,0,0,0
i-60%,1365.5473360522049,2613.3267009698484,3183.8491049098275
,0,0,0
@-60%,385.04777546513986,1664.8107898079902,2926.0222039758737
,0,0,0
u-60%,354.35419152587576,1213.6703971331033,2669.284451689261
,0,0,0
o-60%,379.28102422828357,1451.455253456327,2591.3487408844526
,0,0,0
i-60%,376.0061874443966,2085.3498418209197,2511.7295267942604
,0,0,0
i-60%,1185.4844660092854,2325.170440465403,3222.240937447336
,0,0,0
o-60%,930.3310938899723,2054.0790065328006,3039.553088631081
,0,0,0
i-60%,369.0824991214806,2017.9538742709065,2594.8444800722787
,0,0,0
a-60%,633.6708235967558,1443.0314682563492,2424.5786907327392
,0,0,0
i-60%,331.1212857671417,2031.9469594023321,2615.271190166482
,0,0,0
u-60%,364.52063271963414,1373.5137088337297,2589.3131849933516
,0,0,0
i-60%,407.95748231532644,1539.123931408892,2355.260635875287
,0,0,0
o-60%,473.9745971305793,1187.0256295507809,2600.8433579349908
,0,0,0
